TitleID,Listed subjects
451,Germany ; Brazil ; Lithograph ; Botany ; Hand colored ; 1827 ; Graphic media :
454,1840 ; Uncolored ; Brazil ; Engraving ; Germany ; Graphic media : ; Pictorial works ; Botanists ; Botany
463,Musci ; Brazil ; Botany ; Rio de Janeiro
506,Botany ; Brazil ; Palmae
565,"Natural history ; Medicine ; Botany, Medical ; Brazil ; Early works to 1800 ; Pre-Linnean works"
585,Orchidaceae ; Brazil
745,Brazil ; Plants
875,Birds ; Madeira River Region (Brazil and Bolivia)
882,Brazil ; Plants
884,Melastomataceae ; Plants ; Brazil
886,Brazil ; Minas Gerais ; Plants
909,Copper engraving ; Graphic media : ; Plants ; Uncolored ; 1823-24 ; Brazil
1515,Zoology ; Botany ; Climatology ; Brazil ; Geology
1787,Amazon River Valley ; Brazil ; Description and travel ; Geology
2274,Palms ; Bahia (City) ; Brazil
2405,Syagrus ; Brazil ; Colombia ; Palms
2450,Palmae ; Brazil
2556,Mammals ; Peru ; Brazil
2648,Palms ; Syagrus werdermannii ; Brazil ; Bahia (State)
2733,"Brazil ; Plants, Useful"
2741,Brazil ; Lichenes
2748,Brazil ; Fungi
2753,Phycomycetes ; Brazil ; Ascomycetes
2755,Description and travel ; Brazil
2763,Hevea brasiliensis ; Rubber industry and trade ; Brazil ; Rubber plants
2764,"Description and travel ; Amazon River Valley ; Brazil ; Natural history ; 1823-1913 ; Indians of South America ; Wallace, Alfred Russel,"
2774,Plants ; Brazil
2797,Brazil ; Bolivia ; Mollusks ; Peru
3051,Birds ; Neblina Mountain (Venezuela and Brazil) ; Amazonas (Territory) ; Cerro de la Neblina ; Venezuela
3088,Brazil ; Zoology
3191,Mollusks ; Brazil ; Peru
3198,Brazil ; Amphibians ; Reptiles
3551,Stockholm ; Mammals ; Naturhistoriska riksmuseet (Sweden) ; Brazil ; Catalogs ; Bolivia ; Catalogs and collections ; Sweden
3624,São Paulo (State) ; Fungi ; Brazil
3654,Birds ; Brazil
3665,Frogs ; Brazil ; Turtles ; Herpetology
3680,Brazil ; Plants
3752,Brazil ; Heterobasidiomycetes ; Fungi
4269,Brazil ; Snakes
4325,Forests and forestry ; Brazil
4330,Brazil ; Botanical exploration ; Description and travel ; Plants
4333,Filices ; Brazil
4334,Brazil ; Machadinho River (Brazil) ; Description and travel ; Anari River (Brazil)
4336,"Plants ; Brazil, Central"
4339,Description and travel ; Brazil
4352,"Plants, Useful ; Brazil ; physiology"
4354,"Museu Nacional (Brazil) ; Rondon, Cândido Mariano da Silva, ; 1865-1958"
4355,Purus River Valley ; Plants ; Brazil
4356,"Brazil ; Plant conservation ; Plants, Protection of"
4369,Brazil ; Plants
4387,Brazil ; Description and travel
4393,Natural history ; Plants ; Brazil
4399,Arrow poisons ; Brazil
4402,Brazil ; Ikê River ; Description and travel
4406,Brazil ; Musci
4408,Plants ; Brazil ; Ceará (State)
4410,Musci ; Brazil
4411,Argentina ; Brazil ; Description and travel
4417,Plants ; Brazil
4418,Description and travel ; Brazil ; Amazon River Valley ; Geology
4427,"Wawra, Heinrich, ; Brazil ; Bromeliaceae ; b. 1831"
4432,Phytogeography ; Brazil ; Minas Gerais ; Plants
4436,Brazil ; Grasses ; Cyperaceae ; Gramineae
4440,"Plants ; Brazil ; Plant names, Popular ; São Paulo (State)}xNomenclature"
4446,Brazil ; Plants ; São Paulo (State)
4459,Brazil ; Myrtaceae
4961,Puerto Rico ; Brazil ; Morganella albina ; Botany
5117,Reptiles ; Lacertidae ; Herpetology ; Lizards ; Brazil ; Squamata
5118,Testudinae ; Brazil ; Turtles
5392,Pico das Agulhas Negras ; Brazil ; Plants
5395,Botanical exploration ; Brazil ; Plants
5399,Brazil ; Mato Grosso (State) ; Plants
5419,"Pteridophyta ; Spermatophyta ; Brazil, South"
5435,Brazil nut ; Lecythidaceae ; South America ; Trees
5601,Brazil ; Plants
5640,Brazil ; Description and travel
5878,Natural history ; Description and travel ; Brazil
6159,Lichenes ; Gramineae ; Algae ; Hepaticae ; Brazil ; Plants
6463,"Brazil ; 1824 ; Copper engraving? ; Germany ; Medicinal plants ; Hand colored ; Botany, Medical ; Materia medica ; Graphic media :"
