Words,POS,Frequency
Brazil,ProperNoun,578
travel,Noun,106
history,Noun,91
America,ProperNoun,88
note,Noun,88
South,ProperNoun,87
field,Noun,87
Description,ProperNoun,81
plant,Noun,73
natural,Adj,70
tamarin,Noun,66
River,ProperNoun,61
lion,Noun,55
Botany,ProperNoun,50
State,ProperNoun,45
Indians,ProperNoun,42
Amazon,ProperNoun,41
Imprint,ProperNoun,41
Rio,ProperNoun,39
Zoology,ProperNoun,37
National,ProperNoun,34
States,ProperNoun,34
United,ProperNoun,34
Park,ProperNoun,33
Valley,ProperNoun,33
U.S.,ProperNoun,32
Classification,ProperNoun,31
Zoological,ProperNoun,31
Fossil,ProperNoun,29
do,Verb,29
Paleontology,ProperNoun,27
Field,ProperNoun,26
golden,Adj,26
Mammalogists,ProperNoun,24
Peru,ProperNoun,23
Tobacco,ProperNoun,23
Bahia,ProperNoun,22
Janeiro,ProperNoun,22
Plants,ProperNoun,22
Scientific,ProperNoun,20
behavior,Noun,20
bird,Noun,20
Walter,ProperNoun,19
catalog,Noun,19
das,Foreign,19
forest,Noun,19
Golden,ProperNoun,18
Paulo,ProperNoun,18
Po,ProperNoun,18
animal,Noun,18
antas,Foreign,18
botany,Noun,18
work,Verb,18
Diary,ProperNoun,17
Wildlife,ProperNoun,17
note,Verb,17
reintroduction,Noun,17
Amazonas,ProperNoun,16
mammal,Noun,16
Bacon,ProperNoun,15
Expedi,ProperNoun,15
Phylogeny,ProperNoun,15
Rathbone,ProperNoun,15
de,ProperNoun,15
description,Noun,15
travel,Verb,15
Argentina,ProperNoun,14
CPJCB,ProperNoun,14
scholarship,Noun,14
Chile,ProperNoun,13
Colombia,ProperNoun,13
Mexico,ProperNoun,13
collection,Noun,13
language,Noun,13
periodical,Noun,13
Expeditions,ProperNoun,12
Museum,ProperNoun,12
Portugal,ProperNoun,12
insect,Noun,12
law,Noun,12
Bolivia,ProperNoun,11
Crustaceans,ProperNoun,11
Guyana,ProperNoun,11
Lion,ProperNoun,11
Natural,ProperNoun,11
Pernambuco,ProperNoun,11
Reptiles,ProperNoun,11
Una,ProperNoun,11
zoology,Noun,11
Gerais,ProperNoun,10
Grosso,ProperNoun,10
Minas,ProperNoun,10
Pictorial,ProperNoun,10
Taxidermy,ProperNoun,10
exploration,Noun,10
forestry,Noun,10
legislation,Noun,10
photograph,Noun,10
Archives,ProperNoun,9
Expedition,ProperNoun,9
Mato,ProperNoun,9
Medical,ProperNoun,9
Medicine,ProperNoun,9
Plowman,ProperNoun,9
Region,ProperNoun,9
Timothy,ProperNoun,9
bat,Noun,9
trade,Noun,9
voyage,Noun,9
Agriculture,ProperNoun,8
Antilles,ProperNoun,8
Dahlias,ProperNoun,8
Ecuador,ProperNoun,8
Fishes,ProperNoun,8
Indiana,ProperNoun,8
Lesser,ProperNoun,8
Nursery,ProperNoun,8
Pará,ProperNoun,8
Plant,ProperNoun,8
Roosevelt,ProperNoun,8
São,ProperNoun,8
São,ProperNoun,8
Uruguay,ProperNoun,8
black-and-white,Adj,8
resource,Noun,8
stock,Noun,8
Discovery,ProperNoun,7
Ethnology,ProperNoun,7
Forest,ProperNoun,7
Geology,ProperNoun,7
Herpetology,ProperNoun,7
Identification,ProperNoun,7
Indies,ProperNoun,7
Nacional,ProperNoun,7
Roosevelt-Rondon,ProperNoun,7
Serra,ProperNoun,7
Venezuela,ProperNoun,7
botanist,Noun,7
cretaceous,Adj,7
distribution,Noun,7
golden-headed,Adj,7
price,Noun,7
rain,Noun,7
Amphibians,ProperNoun,6
Correspondence,ProperNoun,6
Geographical,ProperNoun,6
Graphic,ProperNoun,6
Grasses,ProperNoun,6
Guiana,ProperNoun,6
Islands,ProperNoun,6
Materia,ProperNoun,6
Mines,ProperNoun,6
Negro,ProperNoun,6
Ornithology,ProperNoun,6
Parque,ProperNoun,6
Rubber,ProperNoun,6
Tupi,ProperNoun,6
century,Noun,6
etc,Foreign,6
fish,Noun,6
frog,Noun,6
industry,Noun,6
mammalogist,Noun,6
media,Noun,6
medica,Noun,6
mineral,Noun,6
travels,Noun,6
19th,Adj,5
Early,ProperNoun,5
Grande,ProperNoun,5
Ilha,ProperNoun,5
Larvae,ProperNoun,5
Latin,ProperNoun,5
Mollusks,ProperNoun,5
New,ProperNoun,5
Paraguay,ProperNoun,5
Parana,ProperNoun,5
Snakes,ProperNoun,5
T,ProperNoun,5
Virginia,ProperNoun,5
West,ProperNoun,5
bee,Noun,5
botanical,Adj,5
bulb,Noun,5
classification,Noun,5
da,ProperNoun,5
map,Noun,5
seed,Noun,5
variety,Noun,5
wholesale,Adj,5
ANIMAL,ProperNoun,4
Accession,ProperNoun,4
Aires,ProperNoun,4
Anatomy,ProperNoun,4
ArrastÜo,ProperNoun,4
Bates,ProperNoun,4
Bay,ProperNoun,4
Brasil,ProperNoun,4
Buenos,ProperNoun,4
Cabo,ProperNoun,4
California,ProperNoun,4
Caparaó,ProperNoun,4
Ceará,ProperNoun,4
Crustacea,ProperNoun,4
D,ProperNoun,4
Devonian,ProperNoun,4
Economic,ProperNoun,4
Ghillean,ProperNoun,4
Henry,ProperNoun,4
Iapó,ProperNoun,4
Jean,ProperNoun,4
Languages,ProperNoun,4
Lizards,ProperNoun,4
Manaus,ProperNoun,4
Maryland,ProperNoun,4
Museu,ProperNoun,4
