Title,Author,Year,Place of publication,Language,Volume,Page
"Annual Report of the Regents of the University on the condition of the State Cabinet of Natural History, with catalogues of the same.  ","Marcou, Jules,      1824 -1898",1854,Albany,English,7th-9th (1854-1856),Page 47
Sturtevant's notes on edible plants  ,"Hedrick, U. P.       ",1919,Albany,English,,Page 89
Verslagen en mededeelingen der Koninklijke Akademie van Wetenschappen.  ,Koninklijke Nederlandse Akademie van Wetenschappen.       ,1883,Amsterdam,,2e reeks:d.18 (1883),
Miscellaneous writings ...    ,"Robertson-Proschowsky, A.       ",1913,Antibes,English,,Page 8
"Nova genera et species plantarum :quas in peregrinatione ad plagam aequinoctialem orbis novi collegerunt /descripserunt, partim adumbraverunt Amat. Bonpland et Alex. de Humboldt ; ex schedis autographis Amati Bonplandi in ordinem digessit Carol. Sigismund. Kunth ...  ","Kunth, Karl Sigismund,      1788 -1850",1815,Antwerp,Latin,t.1 (1815) [Folio],Page XXIX
The Avicultural magazine  ,Avicultural Society.       ,1994,Ascot,English,v.100 (1994),Page 72
Botanical abstracts.    ,Board of Control of Botanical Abstracts.       ,1920,Baltimore,English,5-6. 1920-1921,Page 230
The Journal of biological chemistry.  ,American Society of Biological Chemists.       ,1907,Baltimore,English,v. 3 (1907),Page 125
Naturalist's guide to the Americas  ,Ecological Society of America.  Committee on the Preservation of Natural Conditions.     ,1926,Baltimore,English,,Page 642
The Plant world  ,Plant World Association.       ,1900,Baltimore,English,Suppl.:v.3-5 (1900-1902),Page 194
"Diccionario de botanica brasileira; ou, Compendio dos vegetaes do Brasil, tanto indigenas como acclimados  ","Almeida Pinto, Joaquim de.       ",1873,Rio de Janeiro,Portugese,,Page 139
Boletim do Museu Paraense de Historia Natural e Ethnographia.  ,Museu Paraense de Historia Natural e Ethnographia.       ,1897,Pará,Portugese,t.2:fasc.1-4 (1897-1898),
Plant inventory  ,United States.  Agricultural Research Service.     ,1942,Beltsville,English,no.131-150 (1942-1951),Page 69
"A flora of the economic plants of California, for agricultural students, including the important crop plants, agricultural weeds, poisonous plants, honey plants, medicinal plants, chaparral shrubs, native timber trees, and the most common native plants of the spring flowering  ","Jepson, Willis Linn,      1867 -1946",1924,Berkeley,English,,Page 108
Alexander von Humboldt's Reisen in Amerika und Asien : eine Darstellung seiner wichtigsten Forschungen  ,"Humboldt, Alexander von,      1769 -1859",1856,Berlin,German,v.1-2,Page 160
Alexander von Humboldt's Reisen in Amerika und Asien; eine Darstellung seiner wichtigsten Forschungen.   ,"Kletke, Hermann,      1813 -1885",1856,Berlin,German,1-Feb,Page 160
Allgemeine Gartenzeitung.  ,"Otto, Friedrich       ",1844,Berlin,German,v.12 (1844),Page 55
Archiv der Pharmazie.    ,Deutscher Apotheker-Verein.       ,1873,Berlin,German,Bd.202,Page 36
Archiv fÃ¼r Naturgeschichte.  ,,1851,Berlin,German,Jahrg.17:Bd.2 (1851),Page 339
Bericht uÂ¨ber die Leistungen in der Pflanzengeographie waÂ¨hrend des Jahres 1843-[1853]  ,"Grisebach, A.     (August), 1814 -1879",1843,Berlin,German,1843,Page 34
Berichte der Deutschen Botanischen Gesellschaft  ,Deutsche Botanische Gesellschaft.       ,1890,Berlin,German,v. 8 (1890),Page 222
Biochemisches Handlexikon.  ,"Abderhalden, Emil,      1877 -1950",1911,Berlin,German,4,Page 487
Botanische Zeitung.  ,"Mohl, Hugo von,      1805 -1872",1844,Berlin,German,Jahrg.2 (1844),Column 39
Botanischer Jahresbericht.  ,"Just, Leopold,      1841 -1891",1876,Berlin,German,"Jahrg. 4, Abt. 1 (1876)",Page 356
EncyklopÃ¤die der mikrospischen Technik : mit besonderer BerÃ¼cksichtigung der FÃ¤rbelehre  ,"Ehrlich, Paul,      1854 -1915",1903,Berlin,German,,Page 74
Forstliche Botanik.    ,"Schwarz, Frank,      1857 -1928",1892,Berlin,German,,Page 350
Die Gartenwelt.  ,"HesdÃ¶rffer, Max,      1863 -1920",1921,Berlin,German,Jahr.25 (1921),Page 186
Grundlagen der Pharmacognosie : Einleitung in das Studium der Rohstoffe des Pflanzenreiches  ,"FluÌˆckiger, Friedrich A.     (Friedrich August), 1828 -1894",1885,Berlin,German,,Page 84
"Grundriss der Pflanzengeographie mit ausfÃ¼hrlichen Untersuchungen Ã¼ber das Vaterland, den Anbau und den Nutzen der vorzÃ¼glichsten Culturpflanzen, welche den Wohlstand der vÃ¶lker BegrÃ¼nden.   ","Meyen, Franz Julius Ferdinand       ",1836,Berlin,German,,Page 410
Handbuch der biochemischen Arbeitsmethoden.  ,"Abderhalden, Emil,      1877 -1950",1910,Berlin,German,2,Page 9
Handbuch der biochemischen arbeitsmethoden  ,"Abderhalden, Emil,      1877 -1950",1910,Berlin,German,2,
Handbuch der Pflanzenkrankheiten.  ,"Graebner, Paul,      1871 -1933",1928,Berlin,German,Bd.2 (1928),Page 205
Iconum botanicarum index locupletissimus = Die Abbildungen sichtbar blÃ¼hender Pflanzen und FarnkrÃ¤uter : aus der botanischen und Gartenliteratur des XVIII. und XIX. Jahrhunderts in alphabetischer Folge zusammengestellt  ,"Pritzel, G. A.     (Georg August), 1815 -1874",1855,Berlin,German,,Page 75
Jahrbuch des KoÌˆniglichen Botanischen Gartens und des Botanischen Museums zu Berlin.  ,"KÃ¶niglicher Botanischer Garten (Berlin, Germany)       ",1884,Berlin,German,v.3 1884,
Journal fuÌˆr Ornithologie  ,Deutsche Ornithologen-Gesellschaft.       ,1908,Berlin,German,Jahrg.56 (1908),Page 519
Linnaea : Ein Journal fÃ¼r die Botanik in ihrem ganzen Umfange.  ,"Schlechtendal, D. F. L. von     (Diedrich Franz Leonhard von), 1794 -1866",1831,Berlin,,Bd.6 (1831),Page 30
