Words,POS,Frequency
Panama,ProperNoun,240
field,Noun,188
note,Noun,188
Costa,ProperNoun,99
Rica,ProperNoun,99
Ornithology,ProperNoun,94
Guatemala,ProperNoun,91
Botany,ProperNoun,78
United,ProperNoun,68
States,ProperNoun,67
Barro,ProperNoun,61
Colorado,ProperNoun,61
behavior,Noun,52
plant,Noun,50
Animal,ProperNoun,49
Ethology,ProperNoun,48
Canal,ProperNoun,44
Nicaragua,ProperNoun,44
National,ProperNoun,42
Mexico,ProperNoun,41
Museum,ProperNoun,41
Zone,ProperNoun,41
Belize,ProperNoun,37
Honduras,ProperNoun,37
Isla,ProperNoun,32
Zoology,ProperNoun,31
illustration,Noun,31
America,ProperNoun,30
San,ProperNoun,28
history,Noun,27
Cerro,ProperNoun,26
Ecuador,ProperNoun,26
bird,Noun,26
travel,Noun,26
Colombia,ProperNoun,24
Photograph,ProperNoun,24
album,Noun,24
Archipielago,ProperNoun,23
Classification,ProperNoun,22
Mammalogy,ProperNoun,19
Central,ProperNoun,18
Correspondence,ProperNoun,18
El,ProperNoun,18
Plants,ProperNoun,18
botany,Noun,17
Provincia,ProperNoun,16
black-and-white,Adj,16
natural,Adj,16
photograph,Noun,16
Field,ProperNoun,15
Peru,ProperNoun,15
catalog,Noun,15
fish,Noun,15
mammal,Noun,15
classification,Noun,14
Punta,ProperNoun,13
Salvador,ProperNoun,13
colon,Noun,13
Academic,ProperNoun,12
Description,ProperNoun,12
Indians,ProperNoun,12
South,ProperNoun,12
UF,ProperNoun,12
dissertation,Noun,12
thesis,Noun,12
D,ProperNoun,11
Darien,ProperNoun,11
Entomology,ProperNoun,11
Ph,ProperNoun,11
Reptiles,ProperNoun,11
note,Verb,11
Agriculture,ProperNoun,10
Santa,ProperNoun,10
collection,Noun,10
description,Noun,10
Florida,ProperNoun,9
Juan,ProperNoun,9
Marine,ProperNoun,9
Puerto,ProperNoun,9
migratory,Adj,9
Bahia,ProperNoun,8
Campana,ProperNoun,8
Chiriqui,ProperNoun,8
Cuba,ProperNoun,8
Economic,ProperNoun,8
Expedition,ProperNoun,8
animal,Noun,8
book,Noun,8
map,Noun,8
population,Noun,8
work,Verb,8
Account,ProperNoun,7
Amphibians,ProperNoun,7
Diary,ProperNoun,7
Expeditions,ProperNoun,7
Frijoles,ProperNoun,7
Geology,ProperNoun,7
Ichthyology,ProperNoun,7
Perlas,ProperNoun,7
River,ProperNoun,7
Santos,ProperNoun,7
del,ProperNoun,7
invertebrate,Noun,7
las,Foreign,7
Arachnida,ProperNoun,6
Bird,ProperNoun,6
Blas,ProperNoun,6
Brazil,ProperNoun,6
California,ProperNoun,6
Cruise,ProperNoun,6
Economics,ProperNoun,6
Galapagos,ProperNoun,6
Hancock,ProperNoun,6
Island,ProperNoun,6
Islands,ProperNoun,6
La,ProperNoun,6
Los,ProperNoun,6
Natural,ProperNoun,6
New,ProperNoun,6
Pacific,ProperNoun,6
Pichincha,ProperNoun,6
Plant,ProperNoun,6
Presidential,ProperNoun,6
R,ProperNoun,6
Rio,ProperNoun,6
Scientific,ProperNoun,6
antiquity,Noun,6
artifact,Noun,6
clipping,Noun,6
information,Noun,6
mollusk,Noun,6
record,Noun,6
Archaeology,ProperNoun,5
Arizona,ProperNoun,5
Calif,ProperNoun,5
Choco,ProperNoun,5
Columbia,ProperNoun,5
Compositae,ProperNoun,5
Crustaceans,ProperNoun,5
Dipsas,ProperNoun,5
Early,ProperNoun,5
Ecology,ProperNoun,5
Exposition,ProperNoun,5
Food,ProperNoun,5
Francisco,ProperNoun,5
Geographical,ProperNoun,5
Guayaquil,ProperNoun,5
Iquitos,ProperNoun,5
Jamaica,ProperNoun,5
Memorabilia,ProperNoun,5
Navy,ProperNoun,5
Ocean,ProperNoun,5
Ometepe,ProperNoun,5
Primates,ProperNoun,5
Region,ProperNoun,5
Smithsonian,ProperNoun,5
Snakes,ProperNoun,5
Venezuela,ProperNoun,5
Veraguas,ProperNoun,5
ant,Noun,5
aspect,Noun,5
correspondence,Noun,5
distribution,Noun,5
forest,Noun,5
insect,Noun,5
o,ProperNoun,5
Anthropology,ProperNoun,4
Australia,ProperNoun,4
Bolivia,ProperNoun,4
Chile,ProperNoun,4
Coclé,ProperNoun,4
Control,ProperNoun,4
District,ProperNoun,4
Fishes,ProperNoun,4
Gamboa,ProperNoun,4
Grasses,ProperNoun,4
Haiti,ProperNoun,4
Herrera,ProperNoun,4
Hexapopha,ProperNoun,4
Indies,ProperNoun,4
International,ProperNoun,4
Liberia,ProperNoun,4
Magdalena,ProperNoun,4
María,ProperNoun,4
Maya,ProperNoun,4
Oonopidae,ProperNoun,4
Orchids,ProperNoun,4
Pacific-Galapagos,ProperNoun,4
Paleontology,ProperNoun,4
Panama-Pacific,ProperNoun,4
Province,ProperNoun,4
Quito,ProperNoun,4
Resource,ProperNoun,4
Rico,ProperNoun,4
Trinidad,ProperNoun,4
U.S.,ProperNoun,4
Vampyressa,ProperNoun,4
West,ProperNoun,4
art,Noun,4
expedition,Noun,4
mayan,Adj,4
n,Noun,4
spider,Noun,4
zoology,Noun,4
Accession,ProperNoun,3
Africa,ProperNoun,3
Agricultural,ProperNoun,3
Alaska,ProperNoun,3
Ancon,ProperNoun,3
Bayano,ProperNoun,3
Benthos,ProperNoun,3
Biological,ProperNoun,3
Biology,ProperNoun,3
Bogota,ProperNoun,3
CSAIP,ProperNoun,3
Caledonia,ProperNoun,3
Carlos,ProperNoun,3
Chepo,ProperNoun,3
Chimán,ProperNoun,3
City,ProperNoun,3
Clipperton,ProperNoun,3
Coffee,ProperNoun,3
Coiba,ProperNoun,3
Colostethus,ProperNoun,3
Colón,ProperNoun,3
Copán,ProperNoun,3
Euphorbiaceae,ProperNoun,3
Ferns,ProperNoun,3
Guanacaste,ProperNoun,3
Gulf,ProperNoun,3
H,ProperNoun,3
Herpetology,ProperNoun,3
Hunting,ProperNoun,3
Identification,ProperNoun,3
Imprint,ProperNoun,3
Institution,ProperNoun,3
Japan,ProperNoun,3
Lichens,ProperNoun,3
Lizards,ProperNoun,3
Maguire,ProperNoun,3
Maryland,ProperNoun,3
Mist,ProperNoun,3
Mosquitoes,ProperNoun,3
Norte,ProperNoun,3
Oregon,ProperNoun,3
Peninsula,ProperNoun,3
Providencia,ProperNoun,3
Public,ProperNoun,3
Receipts,ProperNoun,3
Research,ProperNoun,3
Sea,ProperNoun,3
Socorro,ProperNoun,3
Squids,ProperNoun,3
State,ProperNoun,3
Survey,ProperNoun,3
Synalpheus,ProperNoun,3
Taboga,ProperNoun,3
Texas,ProperNoun,3
Trees,ProperNoun,3
Utah,ProperNoun,3
Valley,ProperNoun,3
Wyoming,ProperNoun,3
amphibian,Noun,3
biological,Adj,3
control,Noun,3
diary,Noun,3
etc,Foreign,3
ethic,Noun,3
fever,Noun,3
financial,Adj,3
forestry,Noun,3
frog,Noun,3
fungus,Noun,3
island,Noun,3
itinerary,Noun,3
name,Noun,3
net,Verb,3
o,Noun,3
orchid,Noun,3
sketch,Noun,3
tropical,Adj,3
A,ProperNoun,2
AM-44,ProperNoun,2
Andes,ProperNoun,2
Anoles,ProperNoun,2
Anomaloglossus,ProperNoun,2
Atlantic,ProperNoun,2
Azuero,ProperNoun,2
Barrios,ProperNoun,2
Batrachia,ProperNoun,2
Bats,ProperNoun,2
Beach,ProperNoun,2
Behavior,ProperNoun,2
Bermuda,ProperNoun,2
Bocas,ProperNoun,2
Britain,ProperNoun,2
Campeche,ProperNoun,2
Carolina,ProperNoun,2
Castillo,ProperNoun,2
Celia,ProperNoun,2
Chagres,ProperNoun,2
Chatham,ProperNoun,2
Chihuahua,ProperNoun,2
Cloud,ProperNoun,2
Coast,ProperNoun,2
Coco,ProperNoun,2
Concepci,ProperNoun,2
Conservation,ProperNoun,2
Coronado,ProperNoun,2
Costarina,ProperNoun,2
Crustacea,ProperNoun,2
Cuna,ProperNoun,2
Emblemaria,ProperNoun,2
Environmental,ProperNoun,2
Escudo,ProperNoun,2
Fossil,ProperNoun,2
France,ProperNoun,2
Gambusia,ProperNoun,2
Georgia,ProperNoun,2
Gorgas,ProperNoun,2
Great,ProperNoun,2
Guam,ProperNoun,2
Hacienda,ProperNoun,2
Hawaii,ProperNoun,2
Higgins,ProperNoun,2
Idaho,ProperNoun,2
Isabela,ProperNoun,2
Jose,ProperNoun,2
Julian,ProperNoun,2
K,ProperNoun,2
Kinorhyncha,ProperNoun,2
L,ProperNoun,2
Laboratory,ProperNoun,2
Lago,ProperNoun,2
Lima,ProperNoun,2
Litoleptis,ProperNoun,2
Lumber,ProperNoun,2
Malaria,ProperNoun,2
Mallard,ProperNoun,2
Marshall,ProperNoun,2
Mayas,ProperNoun,2
Memorial,ProperNoun,2
Michael,ProperNoun,2
Miguel,ProperNoun,2
Mollusks,ProperNoun,2
Monteverde,ProperNoun,2
Mosquitia,ProperNoun,2
Nacional,ProperNoun,2
Nee,ProperNoun,2
Nursery,ProperNoun,2
Orchidaceae,ProperNoun,2
Palo,ProperNoun,2
Parasites,ProperNoun,2
Parque,ProperNoun,2
Percy,ProperNoun,2
Phytogeography,ProperNoun,2
Pirre,ProperNoun,2
Playa,ProperNoun,2
Popular,ProperNoun,2
Port-au-Prince,ProperNoun,2
Portobelo,ProperNoun,2
Pre-Linnean,ProperNoun,2
Program,ProperNoun,2
Pteridophyta,ProperNoun,2
Quetzaltenango,ProperNoun,2
Quintana,ProperNoun,2
Quirigua,ProperNoun,2
Robert,ProperNoun,2
Roo,ProperNoun,2
Rosa,ProperNoun,2
Rubiaceae,ProperNoun,2
S,ProperNoun,2
Salinas,ProperNoun,2
Sedum,ProperNoun,2
Sociology,ProperNoun,2
Tarma,ProperNoun,2
Termites,ProperNoun,2
Tobago,ProperNoun,2
Tonosí,ProperNoun,2
Toro,ProperNoun,2
Tournefortia,ProperNoun,2
Unduavi,ProperNoun,2
University,ProperNoun,2
Virginia,ProperNoun,2
Waldo,ProperNoun,2
Washington,ProperNoun,2
Wilson,ProperNoun,2
Wood,ProperNoun,2
Yellow,ProperNoun,2
Yucat,ProperNoun,2
analysis,Noun,2
bee,Noun,2
botanist,Noun,2
coast,Noun,2
condition,Noun,2
cultivate,Verb,2
de,Foreign,2
defens,Noun,2
disease,Noun,2
ecology,Noun,2
exploration,Noun,2
farm,Noun,2
fern,Noun,2
health,Noun,2
index,Noun,2
industry,Noun,2
institute,Noun,2
language,Noun,2
medicinal,Adj,2
memorabilia,Noun,2
moss,Noun,2
n,ProperNoun,2
negative,Noun,2
nicholsus,Noun,2
parasite,Noun,2
photographic,Adj,2
r,Noun,2
rare,Adj,2
reptile,Noun,2
research,Noun,2
rodent,Noun,2
salamander,Noun,2
scorpion,Noun,2
seed,Noun,2
shrimp,Noun,2
stock,Noun,2
succession,Noun,2
survey,Noun,2
trade,Noun,2
williamsius,Noun,2
18th,Adj,1
Academia,ProperNoun,1
Agaricaceae,ProperNoun,1
Aguan,ProperNoun,1
Aguas,ProperNoun,1
Airplane,ProperNoun,1
Alabama,ProperNoun,1
Alajuela,ProperNoun,1
Albatross,ProperNoun,1
Albert,ProperNoun,1
Alexander,ProperNoun,1
Alfaroa,ProperNoun,1
Alfonso,ProperNoun,1
Alfred,ProperNoun,1
Alkaloids,ProperNoun,1
Allen,ProperNoun,1
Almirante,ProperNoun,1
Amapá,ProperNoun,1
Amatitl,ProperNoun,1
Amazon,ProperNoun,1
Amigos,ProperNoun,1
Annals,ProperNoun,1
Anthurium,ProperNoun,1
Antigua,ProperNoun,1
Antilles,ProperNoun,1
Antoine,ProperNoun,1
Araceae,ProperNoun,1
Archaeological,ProperNoun,1
Archipelago,ProperNoun,1
Archipi,ProperNoun,1
Archipilago,ProperNoun,1
Archives,ProperNoun,1
Arcturus,ProperNoun,1
Argentina,ProperNoun,1
Armuelles,ProperNoun,1
Aromobatidae,ProperNoun,1
Arraiján,ProperNoun,1
Arthropodvectors,ProperNoun,1
Arthur,ProperNoun,1
Atacazo,ProperNoun,1
Atractus,ProperNoun,1
Avocado,ProperNoun,1
Bacon,ProperNoun,1
Bahamas,ProperNoun,1
Balboa,ProperNoun,1
Bassett,ProperNoun,1
Batty,ProperNoun,1
Bay,ProperNoun,1
Beetles,ProperNoun,1
Belgium,ProperNoun,1
Bellas,ProperNoun,1
Bibliography,ProperNoun,1
Billberg,ProperNoun,1
Bioethics,ProperNoun,1
Bivalvia,ProperNoun,1
Blenniidae,ProperNoun,1
Boca,ProperNoun,1
Bogot,ProperNoun,1
Bolitoglossa,ProperNoun,1
Boquerón,ProperNoun,1
Boraginaceae,ProperNoun,1
