TitleID,Listed subjects
164,Botany ; Apocynaceae ; South America
209,Central America ; Botany
217,Plants ; South America
246,Oceania ; Blossom (Ship) ; Botany ; South America ; Mexico
460,Botany ; Cuba ; Mexico ; South America
561,Botany ; Early works to 1800 ; Pictorial works ; Central America ; West Indies
640,Classification ; Botany ; Plants ; Pictorial works ; South America ; Scientific Expeditions
715,"Rubiaceae ; Plants ; Botany ; South America ; Botany, Medical ; Cinchona"
730,Archaeology ; Central America ; Decription and travel ; Botany ; Zoology ; Scientific Expeditions
737,Central America ; West Indies ; Plants
827,Plants ; Guatemala ; Central America
1294,Peru ; Archaeology ; Indians of South America
1646,Myxomycetes ; North America ; Central America
1715,North America ; South America ; Neuroptera
2174,South America ; Fishes ; Bibliography ; Guyana
2248,Nyctaginaceae ; Botany ; Chenopodiaceae ; South America
2252,Central America ; Botany
2272,Central America ; Botany
2280,Botany ; Central America
2288,Compositae ; Botany ; South America
2302,Botany ; Central America
2304,Botany ; South America ; Peru
2311,Botany ; Central America
2316,Central America ; Botany
2391,Botany ; Central America
2399,Botany ; Tropical plants ; Central America
2407,Botany ; Central America
2414,South America ; Compositae ; Botany
2415,Syagrus ; Botany ; South America
2416,Ferns ; Latin America ; Cnemidania
2420,Central America ; Botany
2430,South America ; Syagrus ; Botany
2431,Central America ; Botany
2433,Lagascea ; Botany ; Classification ; Latin America
2439,Botany ; Central America ; Tropical plants
2442,Tropical plants ; Botany ; Central America
2446,Latin America ; Attalea ; Classification ; Palms ; Botany
2538,Classification ; Saurauia ; South America ; Botany
2539,Central America ; Fishes ; Mexico
2555,Mexico ; Botany ; Central America ; Hoffmannia
2558,Amphibians ; South America
2560,Birds ; Central America ; South America
2570,South America ; Birds ; Vogels
2571,Botany ; Central America
2595,Cleridae ; North America ; Central America ; Beetles
2596,South America ; Mammals
2599,Tropical plants ; Central America ; Botany
2600,"Indians of South America ; Ethnobotany ; Ecuador ; Plants, Useful"
2603,Fishes ; Central America
2608,South America ; Botany
2618,Classification ; South America ; Brunfelsia ; Solanaceae
2622,South America ; Birds
2629,Central America ; Botany
2632,Mammals ; South America
2635,Botany ; Central America ; Cyperaceae
2660,Central America ; Hemichaena ; Botany ; Mexico
2663,Latin America ; Botany
2689,Platyrrhinus ; Classification ; Bats ; Phyllostomidae ; South America
