Words,POS,Frequency
America,ProperNoun,876
South,ProperNoun,528
Indians,ProperNoun,192
travel,Noun,184
history,Noun,175
Central,ProperNoun,168
natural,Adj,145
Description,ProperNoun,140
Latin,ProperNoun,104
Mexico,ProperNoun,102
Brazil,ProperNoun,89
Peru,ProperNoun,83
Botany,ProperNoun,64
Zoology,ProperNoun,62
field,Noun,60
note,Noun,60
Classification,ProperNoun,53
Expedition,ProperNoun,48
bird,Noun,47
River,ProperNoun,46
Expeditions,ProperNoun,43
Early,ProperNoun,42
Scientific,ProperNoun,42
Imprint,ProperNoun,41
Chile,ProperNoun,40
voyage,Noun,39
Discovery,ProperNoun,38
exploration,Noun,38
plant,Noun,38
North,ProperNoun,37
Walter,ProperNoun,37
mammal,Noun,37
work,Verb,36
Amazon,ProperNoun,34
Valley,ProperNoun,34
Bacon,ProperNoun,33
Expedi,ProperNoun,33
Rathbone,ProperNoun,33
travel,Verb,33
States,ProperNoun,31
account,Verb,30
description,Noun,30
scholarship,Noun,30
West,ProperNoun,29
antiquity,Noun,29
Indies,ProperNoun,28
classification,Noun,28
United,ProperNoun,27
Argentina,ProperNoun,26
Beagle,ProperNoun,26
Pacific,ProperNoun,26
world,Noun,26
botany,Noun,22
language,Noun,22
Colombia,ProperNoun,21
Phylogeny,ProperNoun,21
Coast,ProperNoun,19
Islands,ProperNoun,19
Plants,ProperNoun,19
Crustaceans,ProperNoun,18
Ecuador,ProperNoun,18
Geology,ProperNoun,18
Panama,ProperNoun,18
Region,ProperNoun,17
geography,Noun,17
California,ProperNoun,16
Spain,ProperNoun,16
Fossil,ProperNoun,15
Paleontology,ProperNoun,15
Andes,ProperNoun,14
Plant,ProperNoun,14
black-and-white,Adj,14
insect,Noun,14
photograph,Noun,14
Academy,ProperNoun,13
Arachnida,ProperNoun,13
Sciences,ProperNoun,13
bat,Noun,13
de,ProperNoun,13
travels,Noun,13
Fishes,ProperNoun,12
Medical,ProperNoun,12
crustacean,Noun,12
indian,Adj,12
Uruguay,ProperNoun,11
Venezuela,ProperNoun,11
distribution,Noun,11
early,Adv,11
fish,Noun,11
morphology,Noun,11
spider,Noun,11
Colonies,ProperNoun,10
Guyana,ProperNoun,10
Oceania,ProperNoun,10
Oonopidae,ProperNoun,10
Ornithology,ProperNoun,10
Province,ProperNoun,10
Reptiles,ProperNoun,10
State,ProperNoun,10
animal,Noun,10
century,Noun,10
Agriculture,ProperNoun,9
Bolivia,ProperNoun,9
Diary,ProperNoun,9
Geographical,ProperNoun,9
Mollusks,ProperNoun,9
Museum,ProperNoun,9
Physical,ProperNoun,9
Tupi,ProperNoun,9
linguistics,Noun,9
Archaeology,ProperNoun,8
Bibliography,ProperNoun,8
Falkland,ProperNoun,8
Marine,ProperNoun,8
Paraguay,ProperNoun,8
Pottery,ProperNoun,8
catalog,Noun,8
etc,Foreign,8
resource,Noun,8
science,Noun,8
Area,ProperNoun,7
Bahia,ProperNoun,7
Caribbean,ProperNoun,7
Dept,ProperNoun,7
Exploring,ProperNoun,7
Harvard,ProperNoun,7
Incas,ProperNoun,7
Natural,ProperNoun,7
Pictorial,ProperNoun,7
Rio,ProperNoun,7
Tobacco,ProperNoun,7
Tropics,ProperNoun,7
University,ProperNoun,7
glossary,Noun,7
tropical,Adj,7
vocabulary,Noun,7
1525-approximately,Adj,6
Antarctica,ProperNoun,6
Archives,ProperNoun,6
Chaco,ProperNoun,6
Correspondence,ProperNoun,6
Field,ProperNoun,6
Gray,ProperNoun,6
Henry,ProperNoun,6
Herbarium,ProperNoun,6
Insects,ProperNoun,6
Mammals,ProperNoun,6
Mapuche,ProperNoun,6
Medicine,ProperNoun,6
Mines,ProperNoun,6
Muridae,ProperNoun,6
New,ProperNoun,6
Pre-Linnean,ProperNoun,6
Robert,ProperNoun,6
Snakes,ProperNoun,6
Social,ProperNoun,6
