?TitleID,Listed subjects
1294,Peru ; Archaeology ; Indians of South America
2600,"Indians of South America ; Ethnobotany ; Ecuador ; Plants, Useful"
2764,"Description and travel ; Amazon River Valley ; Brazil ; Natural history ; 1823-1913 ; Indians of South America ; Wallace, Alfred Russel,"
2931,"Antiquities ; Mounds ; Indians of South America ; Maranga, Peru ; Peru ; Maranga"
3325,"Peru ; Antiquities ; Pottery ; Pottery, Prehistoric ; Indians of South America ; Paruro (Peru : Province) ; Paruro (Province)"
3491,Religion and mythology ; Maya language ; Belize ; Ethnology ; Indians of Central America ; Mayas
3502,Chichen Itza (Mexico) ; Indians of Mexico ; Mortuary customs
3511,Social life and customs ; Antiquities ; South America ; Indians of South America
5180,Peru ; Pottery dating ; Archaeology ; Indians of South America ; Pottery
5189,"Argentina ; Antiquities ; Santa Maria Valley, Argentine Republic ; Santa Maria Valley ; Indians of South America ; Pottery ; Urns"
5260,"Peru ; Antiquities ; Excavations (Archaeology) ; Indian pottery ; Indians of South America ; Cuzco Region (Peru) ; Cuzco Region ; Pottery, Prehistoric"
5262,"Indians of South America ; Antiquities ; Catalogs ; Indian pottery ; Peru ; Pottery, Prehistoric ; South America ; Catalogs and collections ; Field Museum of Natural History"
5292,Indians of South America ; Antiquities ; Nazca culture ; Captain Marshall Field Archaeological Expeditions ; Nazca River Valley ; Peru
5347,Diaquita Indians ; Indians of South America ; Antiquities ; Argentina ; Pottery ; Tucumán (Province) ; Tucumán (Argentina : Province)
6519,Antiquities ; Pottery ; Indians of South America ; Excavations (Archaeology) ; Ecuador
9013,"Botany, Medical ; Plants ; Indians of South America ; Colombia ; Medicine"
13535,"Amazon River Valley ; Brazil ; Portraits ; 1825-1892 ; Natural history ; Indians of South America ; Bates, Henry Walter,"
16406,Economic conditions ; Ethnology ; Description and travel ; Brazil ; Mines and mineral resources ; Indians of South America
17162,Description and travel ; Indians of South America ; Natural history ; Amazon River Valley ; Brazil
17873,Natural history ; Indians of Mexico ; Peru ; America ; Early accounts to 1600 ; Indians of South America ; Latin America
19118,Indians of Mexico ; Latin America ; Peru ; Natural history ; America ; Early accounts to 1600 ; Indians of South America
19332,Indians of South America ; Latin America ; Natural history ; Early accounts to 1600 ; Indians of Mexico ; America ; Early works to 1800 ; Peru
21666,"Antiquities ; Natural history ; Conquest, 1519-1540 ; History ; Aztecs ; Indians of Mexico ; Mexico"
26616,Indians of South America ; Amazon Valley ; Natural history ; Amazon River Valley ; Description and travel
28957,Amazon River Valley ; Indians of South America ; Brazil ; Natural history ; Languages ; Description and travel
30743,Agriculture ; Bolivia ; Indians of South America
32420,Brazil ; Mato Grosso (Brazil : State) ; Mato Grosso (State) ; Indians of South America ; Xingu River (Brazil) ; Description and travel ; Scientific Expeditions
33105,Indians of South America ; Paraguay ; Birds ; Natural history ; Description and travel
36463,Natural history ; Latin America ; Early accounts to 1600 ; Indians of Mexico ; America ; Indians of South America ; Peru
36485,Amazon River ; Indians of South America ; Brazil ; Amazonas (Brazil) ; Natural history ; Amazon River Valley
37335,Amazon River Valley ; Natural history ; Indians of South America ; Brazil
43388,Indians of South America ; Early accounts to 1600 ; Indians of Mexico ; America ; Peru ; Discovery and exploration ; Latin America ; Natural history
46248,Brazil ; Amazon River Valley ; Indians of South America ; Natural history
46401,West Indies ; Languages ; Description and travel ; History ; Indians of the West Indies ; France ; Colonies ; Natural history ; Texts
47078,Natural history ; Indians of South America ; Description and travel ; South America
48501,Indians of South America ; America ; Craniology
48544,Brazil ; Early works to 1800 ; Medicine ; Natural history ; Indians of South America
48609,"Archaeology ; Indians of South America ; Animals, Fossil ; Travel ; History ; Castelnau, Francis, ; Bolivia ; Natural history ; Peru ; Plants ; South America ; 19th century ; Animals ; Description and travel ; Scientific Expeditions ; Brazil ; comte de, ;"
49067,Natural history ; Panama ; Indians of Central America ; Description and travel ; Early works to 1800
