?TitleID,Listed subjects
1195,Indigenous peoples ; Archaeology
18942,Canada ; Eskimos ; North America ; Indians of North America ; Indigenous peoples
21302,Social life and customs ; Nigeria ; Forests and forestry ; Kenya colony and protectorate ; Indigenous peoples ; Africa ; Description and travel
23516,"Ethnology ; Indigenous peoples ; Africa ; Africa, Eastern ; Africa, East ; Uganda ; Native races ; Natural history ; Description and travel"
23776,"Indigenous peoples ; Description and travel ; Plants ; Africa, Central"
52324,Australia ; Geology ; indigenous knowledge ; History - Cultural ; Science ; Periodical ; Sites ; Royal Society of New South Wales ; Periodicals ; Anthropology ; Culture ; New South Wales (NSW) ; Education - Skills and curriculum - Science ; Palaeontology
54342,"Indigenous peoples ; Natural history ; Africa ; Uganda ; Africa, East ; Description and travel ; Ethnology"
96944,Ethnology ; Southeast Asia ; Indigenous peoples ; Malaysia
101630,"Indigenous peoples ; Description and travel ; 1766-1840 ; South Africa ; Missions ; London Missionary Society ; Travel ; Campbell, John,"
101805,Indigenous peoples ; South Africa ; Missions ; London Missionary Society ; Description and travel
105138,Ethnology ; Indigenous peoples ; Mammals ; Natural history ; Pictorial works
106840,Indigenous people ; Electronic books ; Indonesia ; Birds ; Expeditions ; Papua New Guinea ; Ethnology
123960,"Africa, West ; Niger River ; Nigeria ; Description and travel ; Niger River Expedition (1841) ; Indigenous peoples"
127549,"Benue River (Cameroon and Nigeria) ; Description and travel ; Niger River ; Scientific Expeditions ; Laird, MacGregor, ; Indigenous peoples ; Nigeria ; Travel ; 1808-1861 ; Benue River ; Africa"
132904,Discovery and exploration ; Natural history ; 19th century ; Australia ; Indigenous peoples
164080,native animals ; native birds ; Museums ; indigenous artefacts ; natural history illustrations ; ornithological illustrations ; Kangaroos
174248,Animals ; Housing - Shelters - Rock shelters ; Cairns (NE Qld SE55-02) ; Zoology ; Material culture ; Art ; indigenous knowledge ; Queensland ; Periodicals ; Plants ; Technology ; Anthropology ; Environment - Biodiversity ; North Queensland Naturalists' Club ; Botany ; Cultural heritage ; Environment - Conservation ; Habitation - Camps - Fieldwork ; Sites ; Zoology
