TitleID,Title,Author,Holding Institution,Year,StartYear,EndYear,Full Publication Details,Place of Publication,Latitude,Longitude,Language,Includes subject,TitleURL
1294,Archaeological explorations in Peru.,Field Museum of Natural History.,Field Museum of Natural History Library,1937,1937,,"Chicago :Field Museum Press ,1937.","Chicago, Illinois",41.883229,-87.632398,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/1294
2600,Useful plants of the Siona and Secoya Indians of eastern Ecuador,"Plowman, Timothy,","University Library, University of Illinois Urbana Champaign",1984,1984,,"Chicago, Ill. :Field Museum of Natural History,1984.","Chicago, Illinois",41.883229,-87.632398,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/2600
2764,"A narrative of travels on the Amazon and Rio Negro : with an account of the native tribes, and observations of the climate, geology, and natural history of the Amazon Valley","Wallace, Alfred Russel, 1823-1913","New York Botanical Garden, LuEsther T. Mertz Library",,1889,,"London ;Ward, Lock,1889.","London, England",51.5001524,-0.1262362,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/2764
2931,Proto Lima; a middle period culture of Peru,"Wallace, Dwight T.","University Library, University of Illinois Urbana Champaign",1954,1954,,"[Chicago]Chicago Natural History Museum,1954.","Chicago, Illinois",41.883229,-87.632398,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/2931
3325,The early ceramics of the Inca heartland,"Bauer, Brian S.","University Library, University of Illinois Urbana Champaign",1999,1999,,"[Chicago, Ill.] :Field Museum of Natural History,1999.","Chicago, Illinois",41.883229,-87.632398,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/3325
3491,Ethnology of the Mayas of southern and central British Honduras,"Thompson, John Eric Sidney, Sir, 1898-1975",Field Museum of Natural History Library,1930,1930,,"Chicago:Field Museum Press,1930.","Chicago, Illinois",41.883229,-87.632398,ENG,Indians of Central America,https://www.biodiversitylibrary.org/bibliography/3491
3502,"The high priest's grave, Chichen Itza, Yucatan, Mexico; a manuscript","Thompson, John Eric Sidney, Sir, 1898-1975",Field Museum of Natural History Library,1938,1938,,"Chicago:Field Museum Press,1938","Chicago, Illinois",41.883229,-87.632398,ENG,Indians of Mexico,https://www.biodiversitylibrary.org/bibliography/3502
3511,Archaeology of South America,"Thompson, John Eric Sidney, Sir, 1898-1975",Field Museum of Natural History Library,1936,1936,,"Chicago:Field Museum of Natural History,1936.","Chicago, Illinois",41.883229,-87.632398,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/3511
5180,"A late pre-Hispanic ceramic chronology for the upper Moquegua Valley, Peru","Stanish, Charles, 1956-","University Library, University of Illinois Urbana Champaign",1991,1991,,"Chicago, Ill. :Field Museum of Natural History,1991.","Chicago, Illinois",41.883229,-87.632398,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/5180
5189,A seriation of the late prehistoric Santa Maria culture of northwestern Argentina,"Weber, Ronald L.","University Library, University of Illinois Urbana Champaign",1968,1978,,"[Chicago] :Field Museum of Natural History,1978.","Chicago, Illinois",41.883229,-87.632398,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/5189
5260,Early Intermediate and Middle Horizon ceramic styles of the Cuzco Valley,"Jones, Bradford M.","University Library, University of Illinois Urbana Champaign",2003,2003,,"Chicago, Ill. :Field Museum of Natural History,2003.","Chicago, Illinois",41.883229,-87.632398,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/5260
5262,"Killke and Killke-related pottery from Cuzco, Peru, in the Field Museum of Natural History","Stanish, Charles, 1956-","University Library, University of Illinois Urbana Champaign",1990,1990,,"Chicago, Ill. :Field Museum of Natural History,1990.","Chicago, Illinois",41.883229,-87.632398,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/5262
5292,An osteological study of Nasca trophy heads collected by A.L. Kroeber during the Marshall Field Expeditions to Peru,"Klarich, Elizabeth.","University Library, University of Illinois Urbana Champaign",2001,2001,,"Chicago, Ill. :Field Museum of Natural History,2001.","Chicago, Illinois",41.883229,-87.632398,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/5292
5347,An analysis of Santa María urn painting and its cultural implications,"Weber, Ronald L.","University Library, University of Illinois Urbana Champaign",1981,1981,,"Chicago, Ill. :Field Museum of Natural History,1981.","Chicago, Illinois",41.883229,-87.632398,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/5347
6519,Survey and excavations in southern Ecuador,"Institute of Andean Research (New York, N.Y.)","University Library, University of Illinois Urbana Champaign",1943,1943,,"Chicago:Field Museum Press,1943","Chicago, Illinois",41.883229,-87.632398,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/6519
9013,Memoria sobre la historia del estudio de la botánica en la Nueva Granada,"Vezga, Florentino, 1833-1890","New York Botanical Garden, LuEsther T. Mertz Library",,1860,1861,"Bogotá :Sociedad de Naturalistas Neo-Granadinos,1860-1861","Bogotá, Colombia",4.624335,-74.063644,SPA,Indians of South America,https://www.biodiversitylibrary.org/bibliography/9013
13535,"The naturalist on the river Amazons. A record of adventures, habits of animals, sketches of Brazilian and Indian life, and aspects of nature under the Equator, during eleven years of travel. With a memoir of the author","Clodd, Edward, 1840-1930","New York Botanical Garden, LuEsther T. Mertz Library",1892,1892,,"London,J. Murray,1892.","London, England",51.5001524,-0.1262362,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/13535
16406,"Reise in Brasilien : auf Befehl Sr. Majestät Maximilian Joseph I., Königs von Baiern, in den Jahren 1817 bis 1820 gemacht und beschrieben","Spix, Johann Baptist von, 1781-1826","Missouri Botanical Garden, Peter H. Raven Library",1831,1823,1831,"München,M. Lindauer,1823-31.","Munich, Germany",48.1391264,11.5802189,GER,Indians of South America,https://www.biodiversitylibrary.org/bibliography/16406
17162,"The naturalist on the River Amazons : a record of adventures, habits of animals, sketches of Brazilian and Indian life, and aspects of nature under the Equator, during eleven years of travel","Wetmore, Alexander, 1886-1978",University of California Libraries (archive.org),,1880,,"New York :J. Fitzgerald,1880.","New York, NY",40.7130466,-74.0072301,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/17162
17873,Historia natural y moral de las Indias,"Acosta, José de, 1540-1600",University of California Libraries (archive.org),,1894,,"Madrid[R. Anglés, impr.]1894.","Madrid, Spain",40.4166909,-3.7003454,SPA,Indians of Mexico,https://www.biodiversitylibrary.org/bibliography/17873
19118,The natural & moral history of the Indies,"Grimeston, Edward.",University of California Libraries (archive.org),,1880,,"London,Printed for the Hakluyt society,1880.","London, England",51.5001524,-0.1262362,ENG,Indians of Mexico,https://www.biodiversitylibrary.org/bibliography/19118
19332,The natvrall and morall historie of the East and West Indies.,"Blount, Edward, active  1588-1632",University of California Libraries (archive.org),,1604,,"London,Printed by V. Sims for E. Blount and W. Aspley,1604","London, England",51.5001524,-0.1262362,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/19332
21666,Historia de la conquista de Mexico,"Bustamante, Carlos María de, 1774-1848","Research Library, The Getty Research Institute (archive.org)",,1829,,"Mexico :Impr. de Galva,1829.","Mexico, Mexico",19.432608,-99.133209,SPA,Indians of Mexico,https://www.biodiversitylibrary.org/bibliography/21666
26616,Travels on the Amazon.,"Wallace, Alfred Russel, 1823-1913",University of Toronto - Robarts Library,,1911,,LondonWard Lock1911,"London, England",51.5001524,-0.1262362,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/26616
28957,"A narrative of travels on the Amazon and Rio Negro : with an account of the native tribes, and observations on the climate, geology, and natural history of the Amazon Valley","Wallace, Alfred Russel, 1823-1913",University of Toronto - Robarts Library,,1889,,"London :Ward, Lock,1889.","London, England",51.5001524,-0.1262362,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/28957
30743,The agrarian Indian communities of highland Bolivia,"McBride, George McCutchen, 1876-",University of Toronto - Robarts Library,,1921,,"New York :Oxford university press,1921.","New York, NY",40.7130466,-74.0072301,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/30743
32420,"Unter den naturvölkern Zentral-Brasiliens. Reiseschilderung und ergebnisse der zweiten Schingú-expedition, 1887-1888","Steinen, Karl von den, 1855-1929",Brown University Library (archive.org),1894,1894,,"Berlin,D. Reimer (Hoefer & Vohsen)1894.","Berlin, Germany",52.520008,13.404954,GER,Indians of South America,https://www.biodiversitylibrary.org/bibliography/32420
33105,Voyages dans l'Amérique Méridionale,"Azara, Félix de, 1746-1821",Brown University Library (archive.org),,1809,,"Paris,Dentu,1809.","Paris, France",48.856895,2.3508487,FRE,Indians of South America,https://www.biodiversitylibrary.org/bibliography/33105
36463,"Historia natural y moral de las Indias, en que se tratan las cosas notables del cielo, elementos, metales, plantas y animales de ellas; y los ritos, ceremonias, leyes, gobierno y guerras de los Indios.","C., D. A. V.","Northeastern University, Snell Library (archive.org)",,1792,,"Madrid,P. Aznar,1792.","Madrid, Spain",40.4166909,-3.7003454,SPA,Indians of South America,https://www.biodiversitylibrary.org/bibliography/36463
36485,"Le pays des Amazones : l'El-Dorado, les terres à caoutchouc","Santa-Anna Nery, Frederico José de, 1849-1902",University of Toronto - Robarts Library,,1899,,"Paris :Librairie Guillaumin,1899-","Paris, France",48.856895,2.3508487,POR,Indians of South America,https://www.biodiversitylibrary.org/bibliography/36485
37335,The naturalist on the River Amazons.,"Bates, Henry Walter, 1825-1892",NCSU Libraries (archive.org),,1910,,"London,Dent;[1910]","London, England",51.5001524,-0.1262362,ENG,Indians of South America,https://www.biodiversitylibrary.org/bibliography/37335
