TitleID,Title,Author,Holding Institution,Year,StartYear,EndYear,Full Publication Details,Place of Publication,Latitude,Longitude,Language,Includes subject,TitleURL
1415,"Archaeology of Santa Marta, Colombia; the Tairona culture. --","Mason, John Alden, 1885-1967",Field Museum of Natural History Library,1939,1931,,"Chicago:Field Museum Press,1931-1939","Chicago, Illinois",41.883229,-87.632398,ENG,Tairona Indians,https://www.biodiversitylibrary.org/bibliography/1415
3316,"Archaeological investigations in the southern Cayo district, British Honduras","Thompson, John Eric Sidney, Sir, 1898-1975",Field Museum of Natural History Library,1931,1931,,"Chicago,1931.","Chicago, Illinois",41.8832290,-87.6323980,ENG,Mayas,https://www.biodiversitylibrary.org/bibliography/3316
3322,The civilization of the Mayas,"Thompson, John Eric Sidney, Sir, 1898-1975","University Library, University of Illinois Urbana Champaign",1927,1927,,"Chicago:Field Museum of Natural History,1927.","Chicago, Illinois",41.8832290,-87.6323980,ENG,Mayas,https://www.biodiversitylibrary.org/bibliography/3322
3356,Fashioning tradition : Maya huipiles in the Field Museum Collections,"Odland, J. Claire.",Field Museum of Natural History Library,2006,2006,,"Chicago, Ill. :Field Museum of Natural History,2006.","Chicago, Illinois",41.8832290,-87.6323980,ENG,Mayas,https://www.biodiversitylibrary.org/bibliography/3356
3491,Ethnology of the Mayas of southern and central British Honduras,"Laufer, Berthold, 1874-1934",Field Museum of Natural History Library,1930,1930,,"Chicago:Field Museum Press,1930.","Chicago, Illinois",41.8832290,-87.6323980,ENG,Mayas,https://www.biodiversitylibrary.org/bibliography/3491
5347,An analysis of Santa María urn painting and its cultural implications,"Weber, Ronald L.","University Library, University of Illinois Urbana Champaign",1981,1981,,"Chicago, Ill. :Field Museum of Natural History,1981.","Chicago, Illinois",41.8832290,-87.6323980,ENG,Diaquita Indians,https://www.biodiversitylibrary.org/bibliography/5347
20456,"The geographical, natural and civil history of Chili.","Boyd, Henry,-1832",University of California Libraries (archive.org),,1808,,"Middletown (Conn.) :Printed for I. Riley,1808.","Middletown, Connecticut",41.5622220,-72.6508330,ENG,Mapuche Indians,https://www.biodiversitylibrary.org/bibliography/20456
49753,"Gardens, wildlife densities, and subsistence hunting by Maya Indians in Quintana Roo, Mexico","Jorgenson, Jeffrey Paul, 1951-","University of Florida, George A. Smathers Libraries",,1993,,1993.,Place of publication not identified,N/A,N/A,ENG,Mayas,https://www.biodiversitylibrary.org/bibliography/49753
50267,"Essai sur l'histoire naturelle de l'isle de Saint-Domingue, : avec des figures en taille-douce.","Nicolson, pere.",John Carter Brown Library (archive.org),1776,1776,,"A Paris :Chez Gobreau, libraire, Quai des Augustins, à Saint Jean-Baptiste,M.DCC.LXXVI. [1776]","Paris, France",48.8568950,2.3508487,FRE,Taino Indians,https://www.biodiversitylibrary.org/bibliography/50267
51738,The archaeological use and distribution of Mollusca in the Maya lowlands,"Andrews, E. Wyllys (Edward Wyllys), 1916-1971",University of Connecticut Libraries (archive.org),,1969,,"New Orleans,1969.","New Orleans, Louisiana",29.9517634,-90.0746168,ENG,Mayas,https://www.biodiversitylibrary.org/bibliography/51738
51945,Histoire naturelle et morale des iles Antilles de l'Amerique : enrichie de plusieurs belles figures des raretez les plus considerables qui y sont d'écrites : avec un vocabulaire caraibe.,"Leers, Arnout, fl  1644-1674","Research Library, The Getty Research Institute (archive.org)",,1658,,"A Roterdam :Chez Arnould Leers,M.DC.LVIII. [1658]","Rotterdam, Netherlands",51.9166670,4.5000000,FRE,Carib Indians,https://www.biodiversitylibrary.org/bibliography/51945
61056,"The history of the Caribby-Islands, : viz. Barbados, St Christophers, St Vincents, Martinico, Dominico, Barbouthos, Monserrat, Mevis [sic], Antego, &c. in all XXVIII. : In two books. The first containing the natural; the second, the moral history of those","Breton, Raymond, 1609-1679",John Carter Brown Library (archive.org),,1666,,"London, :Printed by J. M. for Thomas Dring and John Starkey, and are to be sold at their shops, at the George in Fleet-Street neer Clifford's-Inn, and at the Mitre between Middle Temple-Gate and Temple-Bar.,1666.","London, England",51.5001524,-0.1262362,ENG,Carib Indians,https://www.biodiversitylibrary.org/bibliography/61056
61175,Histoire naturelle et morale des iles Antilles de l'Amerique. : Enrichie de plusieurs belles figures des raretez les plus considerables qui y sont  d'écrites. : Avec vn vocabulaire Caraïbe.,"Rochefort, César de,1690",John Carter Brown Library (archive.org),,1658,,"A Roterdam, :Chez Arnould Leers,,M. DC. LVIII.. [1658]","Rotterdam, Netherlands",51.9166670,4.5000000,FRE,Carib Indians,https://www.biodiversitylibrary.org/bibliography/61175
61176,"Histoire naturelle et morale des iles Antilles de l'Amerique. : Enrichie d'un grand nombre de belles figures en taille douce, des places & des raretez les plus considerables, qui y sont décrites. : Avec un vocabulaire Caraïbe.","Rochefort, César de,1690",John Carter Brown Library (archive.org),,1665,,"A Roterdam, :Chez Arnout Leers,,M. DC. LXV.. [1665]","Rotterdam, Netherlands",51.9166670,4.5000000,FRE,Carib Indians,https://www.biodiversitylibrary.org/bibliography/61176
