TitleID,Title,Author,Holding Institution,Year,StartYear,EndYear,Full Publication Details,Place of Publication,Latitude,Longitude,Language,Includes subject,TitleURL
246,"The botany of Captain Beechey's voyage; comprising an acount of the plants collected by Messrs. Lay and Collie, and other officers of the expedition, during the voyage to the Pacific and Behring's Strait, performed in His Majesty's ship Blossom, under the","Walker Arnott, George Arnott. 1799-1868",Smithsonian Libraries,,1841,,"London, H. G. Bohn, 1841.","London, England",51.5001524,-0.1262362,ENG,Mexico,https://www.biodiversitylibrary.org/bibliography/246
460,"Plantes équinoxiales recueillies au Mexique : dans l'île de Cuba, dans les provinces de Caracas, de Cumana et de Barcelone, aux Andes de la Nouvelle Grenade, de Quito et du Pérou, et sur les bords du rio-Negro de Orénoque et de la rivière des Amazone","Humboldt, Alexander von, 1769-1859","Missouri Botanical Garden, Peter H. Raven Library",1809,1808,1809,"Paris :F. Schoell,1808-09.","Paris, France",48.856895,2.3508487,FRE,Mexico,https://www.biodiversitylibrary.org/bibliography/460
475,Mexicanas plantas nuper a collectoribus expeditionis scientificae allatas :aut longis ab annis in herbario musei parisiensis depositas,"Bescherelle, Émile, 1828-1903","Missouri Botanical Garden, Peter H. Raven Library",1872,1872,1886,"Parisiis : ex Typographeo Reipublicae, 1872-1886.","Paris, France",48.856895,2.3508487,LAT,Mexico,https://www.biodiversitylibrary.org/bibliography/475
896,The Orchidaceae of Mexico and Guatemala.,"Withers, Augusta Innes 1792-1877","Missouri Botanical Garden, Peter H. Raven Library",1837,1837,1843,"London :Ridgway,[1837-1843]","London, England",51.5001524,-0.1262362,ENG,Mexico,https://www.biodiversitylibrary.org/bibliography/896
960,A new species of Juniperus from Mexico,"Hall, Marion Trufant.","University Library, University of Illinois Urbana Champaign",1971,1971,,"Chicago, Ill.Field Museum of Natural History,1971.","Chicago, Illinois",41.883229,-87.632398,ENG,Mexico,https://www.biodiversitylibrary.org/bibliography/960
1734,"Echinoderms from Lower California, with descriptions of new species.","Clark, Hubert Lyman, 1870-1947",MBLWHOI Library,,1913,,"New York,American Museum of Natural History,1913.","New York, NY",40.7130466,-74.0072301,ENG,Mexico,https://www.biodiversitylibrary.org/bibliography/1734
2229,The fresh-water fishes of Mexico north of the isthmus of Tehuantepec.,"Meek, Seth E. (Seth Eugene), 1859-1914","University Library, University of Illinois Urbana Champaign",1904,1904,,"Chicago,1904.","Chicago, Illinois",41.883229,-87.632398,ENG,Mexico,https://www.biodiversitylibrary.org/bibliography/2229
2253,Contribution [I]-III to the coastal and plain flora of Yucatan,"Millspaugh, Charles Frederick, 1854-1923","University Library, University of Illinois Urbana Champaign",1898,1895,1898,"Chicago,1895-98.","Chicago, Illinois",41.883229,-87.632398,ENG,Mexico,https://www.biodiversitylibrary.org/bibliography/2253
2323,"Plantae Yucatanae (Regionis Antillanae) : plants of the insular, coastal and plain regions of the Peninsula of Yucatan, Mexico.","Chase, Agnes, 1869-1963","University Library, University of Illinois Urbana Champaign",1904,1903,1904,"Chicago,1903-1904.","Chicago, Illinois",41.883229,-87.632398,ENG,Mexico,https://www.biodiversitylibrary.org/bibliography/2323
2354,Flora of Yucatan,"Standley, Paul Carpenter, 1884-1963","University Library, University of Illinois Urbana Champaign",1930,1930,,"Chicago,Field Museum of Natural History,1930.","Chicago, Illinois",41.883229,-87.632398,ENG,Mexico,https://www.biodiversitylibrary.org/bibliography/2354
