Words,POS,Frequency
Mexico,ProperNoun,993
field,Noun,296
note,Noun,296
America,ProperNoun,184
California,ProperNoun,175
Ornithology,ProperNoun,118
history,Noun,100
Indians,ProperNoun,96
Peninsula,ProperNoun,96
plant,Noun,94
Baja,ProperNoun,82
San,ProperNoun,81
Botany,ProperNoun,80
States,ProperNoun,78
natural,Adj,74
travel,Noun,73
United,ProperNoun,71
State,ProperNoun,66
bird,Noun,62
Arizona,ProperNoun,60
Central,ProperNoun,57
Reptiles,ProperNoun,55
South,ProperNoun,53
Herpetology,ProperNoun,50
Yucatan,ProperNoun,50
Mammalogy,ProperNoun,49
North,ProperNoun,49
County,ProperNoun,47
Description,ProperNoun,46
Diego,ProperNoun,45
Geology,ProperNoun,44
Lizards,ProperNoun,44
Marine,ProperNoun,43
Snakes,ProperNoun,43
Diary,ProperNoun,42
Gulf,ProperNoun,42
Pacific,ProperNoun,40
Peru,ProperNoun,37
Ocean,ProperNoun,36
Imprint,ProperNoun,33
botany,Noun,32
Discovery,ProperNoun,31
Isla,ProperNoun,29
Oaxaca,ProperNoun,29
Plants,ProperNoun,29
biology,Noun,29
exploration,Noun,29
photograph,Noun,29
catalog,Noun,28
Colorado,ProperNoun,27
Latin,ProperNoun,27
Paricutín,ProperNoun,27
population,Noun,27
Early,ProperNoun,26
New,ProperNoun,26
River,ProperNoun,26
Steamer,ProperNoun,26
West,ProperNoun,25
Zoology,ProperNoun,25
antiquity,Noun,25
black-and-white,Adj,25
Albatross,ProperNoun,24
Quintana,ProperNoun,24
Roo,ProperNoun,24
account,Verb,24
migratory,Adj,24
Bird,ProperNoun,23
Logbooks,ProperNoun,23
research,Noun,23
Classification,ProperNoun,21
Volcanological,ProperNoun,21
collection,Noun,21
n,Noun,21
Correspondence,ProperNoun,20
botánica,Noun,20
medica,Noun,20
Yucat,ProperNoun,19
Coast,ProperNoun,18
Field,ProperNoun,18
Guatemala,ProperNoun,18
Materia,ProperNoun,18
N,ProperNoun,18
fish,Noun,18
mammal,Noun,18
note,Verb,18
Chiapas,ProperNoun,17
Desert,ProperNoun,17
Entomology,ProperNoun,17
Texas,ProperNoun,17
U.S.,ProperNoun,17
biodiversidad,Noun,17
de,Foreign,17
map,Noun,17
Caribbean,ProperNoun,16
George,ProperNoun,16
Panama,ProperNoun,16
Southwest,ProperNoun,16
classification,Noun,16
work,Verb,16
Archaeology,ProperNoun,15
City,ProperNoun,15
Sea,ProperNoun,15
Volcanos,ProperNoun,15
description,Noun,15
Luis,ProperNoun,14
Volcán,ProperNoun,14
illustration,Noun,14
Anthropology,ProperNoun,13
Ecuador,ProperNoun,13
Arachnida,ProperNoun,12
Bahía,ProperNoun,12
Florida,ProperNoun,12
Indies,ProperNoun,12
Plant,ProperNoun,12
botanical,Adj,12
resource,Noun,12
volcano,Noun,12
Chihuahua,ProperNoun,11
Ciudad,ProperNoun,11
Colo.-Mexico,ProperNoun,11
Costa,ProperNoun,11
Engelmann,ProperNoun,11
Expedition,ProperNoun,11
Jalisco,ProperNoun,11
John,ProperNoun,11
Mist,ProperNoun,11
Pen,ProperNoun,11
Rica,ProperNoun,11
Scientific,ProperNoun,11
art,Noun,11
net,Verb,11
nsula,Foreign,11
periodical,Noun,11
specimen,Noun,11
Brazil,ProperNoun,10
Cactus,ProperNoun,10
La,ProperNoun,10
Paleontology,ProperNoun,10
Smithsonian-Bredin,ProperNoun,10
Sonora,ProperNoun,10
animal,Noun,10
ecology,Noun,10
Archipielago,ProperNoun,9
Arthur,ProperNoun,9
Atlantic,ProperNoun,9
Campeche,ProperNoun,9
Canada,ProperNoun,9
Cozumel,ProperNoun,9
Cuba,ProperNoun,9
Expeditions,ProperNoun,9
Guerrero,ProperNoun,9
Horticulture,ProperNoun,9
Islands,ProperNoun,9
aspect,Noun,9
correspondence,Noun,9
insect,Noun,9
mayan,Adj,9
nursery,Noun,9
Agriculture,ProperNoun,8
Anaheim,ProperNoun,8
C,ProperNoun,8
Calif,ProperNoun,8
Cronquist,ProperNoun,8
Food,ProperNoun,8
Guadalupe,ProperNoun,8
Ichthyology,ProperNoun,8
Mines,ProperNoun,8
Potosi,ProperNoun,8
Valley,ProperNoun,8
Veracruz,ProperNoun,8
book,Noun,8
colon,Noun,8
letter,Noun,8
medicinal,Adj,8
mineral,Noun,8
Academic,ProperNoun,7
Chile,ProperNoun,7
Colombia,ProperNoun,7
Economic,ProperNoun,7
El,ProperNoun,7
Gray,ProperNoun,7
Honduras,ProperNoun,7
Island,ProperNoun,7
Nursery,ProperNoun,7
Photograph,ProperNoun,7
Pictorial,ProperNoun,7
Southern,ProperNoun,7
Southwestern,ProperNoun,7
Tehuantepec,ProperNoun,7
Watershed,ProperNoun,7
album,Noun,7
century,Noun,7
collect,Verb,7
dissertation,Noun,7
electronic,Adj,7
invertebrate,Noun,7
spider,Noun,7
stock,Noun,7
Amphibians,ProperNoun,6
Belize,ProperNoun,6
Bibliography,ProperNoun,6
Chichen,ProperNoun,6
Crustacea,ProperNoun,6
D,ProperNoun,6
Ecology,ProperNoun,6
Environmental,ProperNoun,6
Exposición,ProperNoun,6
Forest,ProperNoun,6
Itza,ProperNoun,6
Laurence,ProperNoun,6
MEDICAL,ProperNoun,6
Mollusks,ProperNoun,6
Morelos,ProperNoun,6
Museum,ProperNoun,6
Natural,ProperNoun,6
Pedro,ProperNoun,6
Ph,ProperNoun,6
Popocatépetl,ProperNoun,6
Region,ProperNoun,6
Santa,ProperNoun,6
UF,ProperNoun,6
Vegetable,ProperNoun,6
Virginia,ProperNoun,6
William,ProperNoun,6
Zacatecas,ProperNoun,6
ant,Noun,6
geology,Noun,6
management,Noun,6
pest,Noun,6
salamander,Noun,6
sketch,Noun,6
snake,Noun,6
statistics,Noun,6
thesis,Noun,6
19th,Adj,5
A,ProperNoun,5
Amecameca,ProperNoun,5
Andes,ProperNoun,5
Ascension,ProperNoun,5
Bay,ProperNoun,5
Blake,ProperNoun,5
Charles,ProperNoun,5
Christopher,ProperNoun,5
Cruise,ProperNoun,5
Fossil,ProperNoun,5
G,ProperNoun,5
Geographical,ProperNoun,5
HISTORIA,ProperNoun,5
Herbarium,ProperNoun,5
Islas,ProperNoun,5
Isthmus,ProperNoun,5
Laguna,ProperNoun,5
