TitleID,Title,Author,Holding Institution,Year,StartYear,EndYear,Full Publication Details,Place of Publication,Latitude,Longitude,Language,Includes subject,TitleURL
156894,Major species of Panama orchids,Henry G. Gilbert Nursery and Seed Trade Catalog Collection.,"U.S. Department of Agriculture, National Agricultural Library",1952,1952,,"Ancon, Canal Zone :H.A. Dunn,[1952]","Ancon, Panama",43.6171493,13.51599,ENG,Panama,https://www.biodiversitylibrary.org/bibliography/156894
165196,"Panamá : puente biológico : las Charlas Smithsonian del Mes, 1996-1999",Smithsonian Tropical Research Institute.,Smithsonian Libraries,,2001,,"Balboa, Panamá :Instituto Smithsonian de Investigaciones Tropicales,2001.","Balboa, Panama",8.94875,-79.5644,SPA,Panama,https://www.biodiversitylibrary.org/bibliography/165196
41526,The Panamic deep sea Echini /  by Alexander Agassiz.,"Agassiz, Alexander, 1835-1910","Harvard University, Museum of Comparative Zoology, Ernst Mayr Library",1904,1904,,"Cambridge :Printed for the Museum,1904.","Cambridge, Massachusetts",42.374911,-71.110046,ENG,Panama,https://www.biodiversitylibrary.org/bibliography/41526
2576,The fishes of the fresh waters of Panama,"Hildebrand, Samuel F. 1883-1949","University Library, University of Illinois Urbana Champaign",1916,1916,,"Chicago,1916.","Chicago, Illinois",41.883229,-87.632398,ENG,Panama,https://www.biodiversitylibrary.org/bibliography/2576
2633,Ectoparasites of Panama.,"Wenzel, Rupert L., 1915-2006","University Library, University of Illinois Urbana Champaign",1966,1966,,"Chicago,Field Museum of Natural History,1966.","Chicago, Illinois",41.883229,-87.632398,ENG,Panama,https://www.biodiversitylibrary.org/bibliography/2633
2969,A new catalogue of the fresh-water fishes of Panama,"Hildebrand, Samuel F. 1883-1949","University Library, University of Illinois Urbana Champaign",1938,1938,,"Chicago,1938","Chicago, Illinois",41.883229,-87.632398,ENG,Panama,https://www.biodiversitylibrary.org/bibliography/2969
3804,A new species of lungless salamander,"Brame, Arden H., 1934-2004","University Library, University of Illinois Urbana Champaign",1966,1966,,"[Chicago]Field Museum of Natural History,1966.","Chicago, Illinois",41.883229,-87.632398,ENG,Panama,https://www.biodiversitylibrary.org/bibliography/3804
5573,New species of fishes from Panama,"Hildebrand, Samuel F. 1883-1949","University Library, University of Illinois Urbana Champaign",1913,1913,,"Chicago,1913.","Chicago, Illinois",41.883229,-87.632398,ENG,Panama,https://www.biodiversitylibrary.org/bibliography/5573
7202,"Birds of Volcán de Chiriquí, Panama.","Blake, Emmet Reid, 1908-1997","University Library, University of Illinois Urbana Champaign",1958,1958,,"[Chicago]Chicago Natural History Museum,1958.","Chicago, Illinois",41.883229,-87.632398,ENG,Panama,https://www.biodiversitylibrary.org/bibliography/7202
13853,The fishes of the fresh waters of Panama,"Hildebrand, Samuel F. 1883-1949",Smithsonian Libraries,,1916,,"Chicago,1916.","Chicago, Illinois",41.883229,-87.632398,ENG,Panama,https://www.biodiversitylibrary.org/bibliography/13853
