TitleID,Listed subjects
400,Chromolithographs ; Colombia ; 1858-69 ; Graphic media : ; Plants
413,Botany ; Gramineae ; Chile ; Pictorial works
611,Plants ; Chile
674,Botany ; Mauritius ; French Guiana
736,Bolivia ; Musci
814,Peru ; Plants ; Chile
875,Birds ; Madeira River Region (Brazil and Bolivia)
887,Chile ; Plants ; Peru
958,Bolivia ; Botany ; Ecuador ; Classification ; Peru ; Paullinia
960,Botany ; Mexico ; Juniperus saltillensis
1282,Peru ; Pottery ; Antiquities ; Captain Marshall Field Archaeological Expeditions
1290,Peru ; Paleontology ; Mummies ; Antiquities ; Paleopathology ; Egypt ; Radiography
1294,Peru ; Archaeology ; Indians of South America
1415,"1922-1923 ; Santa Marta, Colombia ; Antiquities ; Captain Marshall Field expedition to Colombia ; Tairona Indians"
2064,Chiloé (Chile) ; Patagonia (Argentina and Chile) ; Wager (Ship)
2115,Ants ; Paraguay ; Guatemala ; Hymenoptera
2174,South America ; Fishes ; Bibliography ; Guyana
2238,Sapotaceae ; Botany ; Peru
2256,Botany ; Peru
2257,Botany ; Peru
2261,Botany ; Peru
2265,Peru ; Botany
2266,Botany ; Peru
2277,Botany ; Peru
2279,Scrophulariaceae ; Peru ; Botany
2282,Rubiaceae ; Botany ; Ecuador
2284,Peru ; Botany
2294,Shrubs ; Trees ; Peru
2295,Botany ; Umbelliferae ; Peru
2296,Phanerogams ; Botany ; Peru
2299,Botany ; Colombia ; Rubiaceae
2304,Botany ; South America ; Peru
2305,Peru ; Chile ; Botany ; Description and travel
2310,Peru ; Botany
2317,Botany ; Peru ; Myrtaceae
2320,Botany ; Peru
2321,Botany ; Peru
2322,Botany ; Peru
2327,Botany ; Bolivia ; Rubiaceae
2339,Peru ; Botany
2340,Peru ; Captain Marshall Field expeditions ; Phanerogams ; Botany
2341,Botany ; Peru
2344,Botany ; Phanerogams ; Peru
2347,Rubiaceae ; Venezuela ; Botany
2350,Botany ; Peru
2393,Scrophulariaceae ; Peru ; Botany
2394,Orchids ; Peru
2400,Venezuela ; Botany
2404,Venezuela ; Botany
2405,Syagrus ; Brazil ; Colombia ; Palms
2422,Venezuela ; Botany
2445,Peru ; Orchids
2451,Orchids ; Peru
2480,"Horn, Cape (Chile) ; Scientific Expeditions ; Cape Horn (Chile)"
2503,Zoology ; Argentina
2504,Argentina ; Natural history ; Geology ; Rio Negro ; Scientific Expeditions
2540,Ferns ; Dryopteris ; Peru ; Pteridophyta ; Aspleniaceae
2547,Peru ; Pteridophyta
2549,Peru ; Compositae ; Botany
2556,Mammals ; Peru ; Brazil
2559,Peru ; Chinchero (District) ; Ethnobotany
2566,Captain Marshall Field expeditions ; Peru ; Birds
2569,Paleoclimatology ; History ; El Niño Current ; Pacific Ocean ; Environmental aspects ; Ocean currents ; Environmental conditions ; Peru
2591,Botany ; Peru ; Compositae ; Mikania
2597,Peru ; Mammals
2600,"Indians of South America ; Ethnobotany ; Ecuador ; Plants, Useful"
2602,Ferns ; Pteridophyta ; Peru
2604,Botany ; Peru ; Compositae
2611,Mammals ; North America ; West Indies ; Colombia
2613,Botany ; Compositae ; Peru ; Vernonieae
2614,Compositae ; Peru ; Botany
2615,Solanaceae ; Peru
2617,Peru ; Orchids
2620,Thelypteridaceae ; Peru ; Ferns ; Pteridophyta
2621,Phanerogams ; Botany ; Peru
2624,Peru ; Compositae ; Botany
2643,Compositae ; Botany ; Peru
2647,Colombia ; Venezuela ; Mammals
2659,Ferns ; Peru ; Pteridophyta
2662,Ferns ; Peru ; Pteridophyta
2708,Birds ; Peru ; Mammal surveys ; Reserva de la Biosfera del Manu ; Bird surveys ; Mammals ; Reserva de la Biosfera del Manu (Peru)
2784,British Guiana ; Birds
2794,Peru ; Serpents ; Captain Marshall Field expeditions
2797,Brazil ; Bolivia ; Mollusks ; Peru
2799,Ecuador ; Fishes ; Rhinodoras dorbigny ; South America ; Rhinodoras boehlkei
2817,Frogs ; Chile ; Batrachia
2826,Birds ; Colombia
2834,Micrurus surinamus ; Coral snakes
2858,Tinamus osgoodi ; Birds ; Colombia
2859,Cuzco (Dept.) ; Birds ; Peru
2863,Colombia ; Coral snakes ; Micrurus
2876,Colombia ; Anomalepis colombia ; Snakes
2903,Birds ; Chile
2915,Peru ; Serpents
2916,Peru ; Mammals
2931,"Antiquities ; Mounds ; Indians of South America ; Maranga, Peru ; Peru ; Maranga"
2940,Surinam ; Mites ; Myoproctalges surinamensis ; Myoprocta acouchy ; Suriname ; Myoproctalges ; Parasites ; Mammals
2942,Peru ; Birds
2946,Pigeons ; Colombia ; Birds
2965,Birds ; Captain Marshall Field expeditions ; Peru
2974,Amphibians ; Reptiles ; Venezuela
2984,British Guiana ; Birds
2990,Peru ; Frogs ; Telmatobius
3031,Fishes ; Venezuela
3051,Birds ; Neblina Mountain (Venezuela and Brazil) ; Amazonas (Territory) ; Cerro de la Neblina ; Venezuela
3057,Neuroptera ; Chile ; Dragonflies
3058,Fishes ; Helogenes unidorsalis ; Ecuador ; Classification ; Identification ; Helogenes
3079,Gastropoda ; Vanuatu ; Semperula solemi ; Veronicellidae
3080,Game and game-birds ; Colombia
3096,Argentina ; Mammals ; Rodents
3099,Catfishes ; Venezuela ; Classification ; Hoplomyzon sexpapilostoma ; Aspredinidae
3105,Kionoptyx ; Colombia ; Peru ; Mollusks
3133,Serpents ; Peru
3167,Parque Nacional del Manu (Peru) ; Birds ; Mammals ; Parque Nacional del Manu ; Peru
3168,Zoology ; Colombia ; Classification
3191,Mollusks ; Brazil ; Peru
3202,Colombia ; Birds
3208,Birds ; Peru
3211,Choeroniscus ; Bats ; Venezuela
3240,Ecology ; Ecuador ; Habitations ; Palenque River ; Effect of water levels on ; Fishes ; Burrowing animals ; Catfishes
3241,Uruguay ; Mammals
3312,"Ordovician ; Paleobotany ; Argentina ; Algae, Fossil"
3317,Bibliography ; Antiquities ; Ethnology ; Anthropology ; Peru
3325,"Peru ; Antiquities ; Pottery ; Pottery, Prehistoric ; Indians of South America ; Paruro (Peru : Province) ; Paruro (Province)"
3352,Textile fabrics ; Captain Marshall Field Archaeological Expeditions ; Antiquities ; Peru
3387,Captain Marshall Field paleontological expeditions ; Paleontology ; Oligocene ; Patagonia (Argentina and Chile)
3409,Birds ; Concepción ; Bolivia
3454,Peru ; Crypturellus ; Odontophorus gujanensis ; Game and game-birds
3461,"Paleontology ; Mammals, Fossil ; Catamarca (Province) ; Tertiary ; Argentina"
3483,Classification ; South America ; Aspredinidae ; Ecuador ; Fishes ; Hoplomyzontini
3529,Rhagomys longilingua ; Classification ; Rhagomys rufescens ; Muridae ; Peru
3551,Stockholm ; Mammals ; Naturhistoriska riksmuseet (Sweden) ; Brazil ; Catalogs ; Bolivia ; Catalogs and collections ; Sweden
3557,Peru ; Birds
3572,"Peru ; Paleontology ; Turtles, Fossil"
3578,"Excavations, Archaeology ; Juli (Peru) ; Juli ; Peru ; Antiquities"
3682,Zoology ; Guiana
3699,Zoology ; Suriname
3763,Penelope montagnii ; Peru ; Birds
3781,Peru ; Snails ; Mollusks
3791,Peru ; Mollusks
3800,Bolivia ; Beetles ; Xenopteryx setosus
3811,Crypturellus obsoletus ; Birds ; Peru
3813,Peru ; Botany
3823,Birds ; Venezuela ; Honey-creepers
3842,Chile ; Mammals
3843,Venezuela ; Botany
3848,Serpents ; Peru
3856,Peru ; Botany ; Captain Marshall Field expeditions ; Mosses ; Phanerogams
4055,Fungi ; Tierra del Fuego (Argentina and Chile)
4071,Fungi ; Patagonia (Argentina and Chile)
4405,Plants ; Colombia ; West Indies
4411,Argentina ; Brazil ; Description and travel
4499,West Indies ; Gutta-percha ; Rubber ; Guyana
4686,South America ; Fishes ; Bibliography ; Guyana
5014,Pipa (Amphibians) ; Surinam toad
5028,Costa Rica ; Peru ; Fish ; Nicaragua ; Amphibians ; Reptiles
5131,Classification ; Reptiles ; Colombia ; Amphisbaena ; America ; Amphisbaena medemi
5154,Peru ; Trachelyichthys exilis ; Fishes ; Trachelyichthys decaradiatus ; Classification
5169,"Mammals, Fossil ; Argentina ; Chile ; Paleontology ; Phylogeny ; Paleogene"
5180,Peru ; Pottery dating ; Archaeology ; Indians of South America ; Pottery
5189,"Argentina ; Antiquities ; Santa Maria Valley, Argentine Republic ; Santa Maria Valley ; Indians of South America ; Pottery ; Urns"
5222,Archaeology ; Tumatumani Site (Peru) ; Peru
5225,Lara ; Tertiary ; Paleontology ; Proticia venezuelensis ; Venezuela
5226,Paleontology ; Captain Marshall Field paleontological expeditions ; Patagonia (Argentina and Chile) ; 1922-24
5228,"Litopterna ; Chile ; Miocene ; Paleontology ; Notoungulata ; Ungulates, Fossil"
