Words,POS,Frequency
Peru,ProperNoun,329
Chile,ProperNoun,251
Argentina,ProperNoun,234
America,ProperNoun,230
note,Noun,199
field,Noun,198
Colombia,ProperNoun,193
history,Noun,187
plant,Noun,168
South,ProperNoun,163
Ecuador,ProperNoun,154
travel,Noun,141
natural,Adj,129
Indians,ProperNoun,121
Botany,ProperNoun,110
Description,ProperNoun,106
Venezuela,ProperNoun,97
Bolivia,ProperNoun,93
States,ProperNoun,86
United,ProperNoun,86
Zoology,ProperNoun,82
Classification,ProperNoun,81
bird,Noun,81
Brazil,ProperNoun,77
Guyana,ProperNoun,72
Mexico,ProperNoun,65
Paleontology,ProperNoun,65
mammal,Noun,65
Ornithology,ProperNoun,62
Fossil,ProperNoun,60
Plants,ProperNoun,55
Field,ProperNoun,54
River,ProperNoun,51
botany,Noun,48
Panama,ProperNoun,46
Isla,ProperNoun,44
Patagonia,ProperNoun,44
Region,ProperNoun,43
Guiana,ProperNoun,40
Museum,ProperNoun,40
behavior,Noun,40
Animal,ProperNoun,39
classification,Noun,37
Imprint,ProperNoun,34
NATURAL,ProperNoun,34
antiquity,Noun,34
insect,Noun,33
Agriculture,ProperNoun,32
Latin,ProperNoun,32
distribution,Noun,32
periodical,Noun,32
Archipielago,ProperNoun,31
Ethology,ProperNoun,31
Paraguay,ProperNoun,31
colon,Noun,30
expedition,Noun,30
Early,ProperNoun,29
photograph,Noun,29
Andes,ProperNoun,28
Identification,ProperNoun,27
catalog,Noun,27
exploration,Noun,27
Discovery,ProperNoun,26
Expedition,ProperNoun,26
Geographical,ProperNoun,26
Province,ProperNoun,26
La,ProperNoun,25
Uruguay,ProperNoun,25
black-and-white,Adj,25
del,ProperNoun,25
language,Noun,25
Islands,ProperNoun,24
Suriname,ProperNoun,24
account,Verb,24
Correspondence,ProperNoun,23
National,ProperNoun,23
Archives,ProperNoun,22
Plowman,ProperNoun,22
Rio,ProperNoun,22
Timothy,ProperNoun,22
description,Noun,21
work,Verb,21
Diary,ProperNoun,19
Expeditions,ProperNoun,19
Hancock,ProperNoun,19
Pacific,ProperNoun,19
Phylogeny,ProperNoun,19
Plant,ProperNoun,19
Santa,ProperNoun,19
animal,Noun,19
zoology,Noun,19
DE,ProperNoun,18
Dept,ProperNoun,18
Mapuche,ProperNoun,18
Reptiles,ProperNoun,18
illustration,Noun,18
Antilles,ProperNoun,17
Arachnida,ProperNoun,17
Cerro,ProperNoun,17
Valley,ProperNoun,17
collection,Noun,17
french,Adj,17
Amazon,ProperNoun,16
Bacon,ProperNoun,16
Crustaceans,ProperNoun,16
Expedi,ProperNoun,16
Pacific-Galapagos,ProperNoun,16
Rathbone,ProperNoun,16
Walter,ProperNoun,16
bat,Noun,16
frog,Noun,16
travel,Verb,16
Scientific,ProperNoun,15
bee,Noun,15
note,Verb,15
scholarship,Noun,15
Amphibians,ProperNoun,14
Captain,ProperNoun,14
Entomology,ProperNoun,14
Fuego,ProperNoun,14
Geology,ProperNoun,14
Juniperus,ProperNoun,14
Mammals,ProperNoun,14
Marshall,ProperNoun,14
Medical,ProperNoun,14
New,ProperNoun,14
Tierra,ProperNoun,14
correspondence,Noun,14
fish,Noun,14
Aires,ProperNoun,13
Bahia,ProperNoun,13
Buenos,ProperNoun,13
Colorado,ProperNoun,13
Guatemala,ProperNoun,13
Guayaquil,ProperNoun,13
San,ProperNoun,13
forest,Noun,13
Amazonas,ProperNoun,12
Costa,ProperNoun,12
Island,ProperNoun,12
Larvae,ProperNoun,12
Marine,ProperNoun,12
Quito,ProperNoun,12
Rica,ProperNoun,12
Taxidermy,ProperNoun,12
Tobacco,ProperNoun,12
West,ProperNoun,12
map,Noun,12
specimen,Noun,12
Archaeology,ProperNoun,11
Barro,ProperNoun,11
Bogota,ProperNoun,11
Compositae,ProperNoun,11
Indies,ProperNoun,11
Mammalogy,ProperNoun,11
Pernambuco,ProperNoun,11
Pottery,ProperNoun,11
Puerto,ProperNoun,11
Ship,ProperNoun,11
botanical,Adj,11
indian,Adj,11
medica,Noun,11
Academic,ProperNoun,10
Coast,ProperNoun,10
D,ProperNoun,10
Department,ProperNoun,10
Galapagos,ProperNoun,10
Ichthyology,ProperNoun,10
John,ProperNoun,10
Lima,ProperNoun,10
Materia,ProperNoun,10
Mollusks,ProperNoun,10
Negro,ProperNoun,10
Ph,ProperNoun,10
Pichincha,ProperNoun,10
UF,ProperNoun,10
condition,Noun,10
dissertation,Noun,10
early,Adv,10
linguistics,Noun,10
spider,Noun,10
thesis,Noun,10
Anatomy,ProperNoun,9
Cyperus,ProperNoun,9
Iquitos,ProperNoun,9
Lesser,ProperNoun,9
Miocene,ProperNoun,9
Netherlands,ProperNoun,9
Ocean,ProperNoun,9
Photograph,ProperNoun,9
VALPARAISO,ProperNoun,9
album,Noun,9
invertebrate,Noun,9
migratory,Adj,9
mollusk,Noun,9
Bats,ProperNoun,8
Callao,ProperNoun,8
Chaco,ProperNoun,8
Cuzco,ProperNoun,8
Diptera,ProperNoun,8
Fishes,ProperNoun,8
Gramineae,ProperNoun,8
Grasses,ProperNoun,8
Gray,ProperNoun,8
Loja,ProperNoun,8
Magellan,ProperNoun,8
Nacional,ProperNoun,8
Navy,ProperNoun,8
Notoungulata,ProperNoun,8
Parque,ProperNoun,8
Pteridophyta,ProperNoun,8
Punta,ProperNoun,8
Robert,ProperNoun,8
Rodents,ProperNoun,8
Strait,ProperNoun,8
Trinidad,ProperNoun,8
William,ProperNoun,8
ande,Noun,8
etc,Foreign,8
fertilizer,Noun,8
gazetteer,Noun,8
law,Noun,8
rodent,Noun,8
saltpeter,Noun,8
Anthropology,ProperNoun,7
Central,ProperNoun,7
Crustacea,ProperNoun,7
Falkland,ProperNoun,7
George,ProperNoun,7
H,ProperNoun,7
Haiti,ProperNoun,7
Insects,ProperNoun,7
Isabela,ProperNoun,7
Nomenclature,ProperNoun,7
Nursery,ProperNoun,7
Oligocene,ProperNoun,7
Popular,ProperNoun,7
Tinguiririca,ProperNoun,7
U.S.,ProperNoun,7
University,ProperNoun,7
Urophonius,ProperNoun,7
Virginia,ProperNoun,7
W,ProperNoun,7
artifact,Noun,7
century,Noun,7
clipping,Noun,7
identification,Noun,7
information,Noun,7
legislation,Noun,7
medicinal,Adj,7
Agronomy,ProperNoun,6
Anura,ProperNoun,6
Atacama,ProperNoun,6
Beetles,ProperNoun,6
Cactaceae,ProperNoun,6
Chiloé,ProperNoun,6
Chubut,ProperNoun,6
Cuba,ProperNoun,6
Cundinamarca,ProperNoun,6
Economic,ProperNoun,6
Exploring,ProperNoun,6
French,ProperNoun,6
Incas,ProperNoun,6
Institution,ProperNoun,6
J,ProperNoun,6
Lake,ProperNoun,6
Lepidoptera,ProperNoun,6
Liliaceae,ProperNoun,6
M,ProperNoun,6
Magdalena,ProperNoun,6
Maryland,ProperNoun,6
Mountain,ProperNoun,6
Peninsula,ProperNoun,6
Pictorial,ProperNoun,6
Plata,ProperNoun,6
Santander,ProperNoun,6
Society,ProperNoun,6
Spain,ProperNoun,6
Thomas,ProperNoun,6
Tucuman,ProperNoun,6
Vampyressa,ProperNoun,6
Vegetable,ProperNoun,6
aspect,Noun,6
biology,Noun,6
collect,Verb,6
cretaceous,Adj,6
fern,Noun,6
geographical,Adj,6
geology,Noun,6
letter,Noun,6
name,Noun,6
rain,Noun,6
science,Noun,6
scorpion,Noun,6
stock,Noun,6
survey,Noun,6
19th,Adj,5
A,ProperNoun,5
Archaeological,ProperNoun,5
Birabenella,ProperNoun,5
Caracas,ProperNoun,5
Cauca,ProperNoun,5
Cruz,ProperNoun,5
Desert,ProperNoun,5
Ecology,ProperNoun,5
Eocene,ProperNoun,5
Ferns,ProperNoun,5
Forest,ProperNoun,5
Formation,ProperNoun,5
Georgetown,ProperNoun,5
Great,ProperNoun,5
