TitleID,Listed subjects
143,"Botany ; West Indies, British"
144,Plants ; West Indies
426,Botany ; West Indies
433,West Indies ; Botany ; Early works to 1800
434,West Indies ; Early works to 1800 ; Uncolored ; Plants ; Graphic media : ; Copper engravings ; Botany ; 1797
561,Botany ; Early works to 1800 ; Pictorial works ; Central America ; West Indies
737,Central America ; West Indies ; Plants
820,"West Indies ; Uncolored ; 1701 ; Copper engraving ; Graphic media : ; Hortus Botanicus (Amsterdam, Netherlands) ; Plants ; Indonesia ; Netherlands ; Botany ; Early works to 1800 ; Pre-Linnean works"
899,North America ; West Indies ; Plants
911,Pictorial works ; Botany ; Pre-Linnean works ; West Indies
2611,Mammals ; North America ; West Indies ; Colombia
2759,Valhalla (Yacht) ; Scientific Expeditions ; West Indies ; Birds ; Discovery and exploration ; Voyages and travels ; Voyages around the world
2762,West Indies ; Cyperaceae
2765,Mexico ; South America ; Coffea ; Culture ; Central America ; West Indies
2767,"Plants ; West Indies ; History ; America ; Columbus, Christopher"
2773,Plants ; West Indies
2776,"History ; Plants ; West Indies, British ; Jamaica"
2777,Plants ; West Indies
2819,Pselaphidae ; West Indies ; Classification ; Insects
3696,"West Indies ; Medicinal plants ; Botany ; Botany, Medical"
3724,Plants ; West Indies
3857,Description and travel ; Canary Islands ; Natural history ; Plants ; West Indies
4205,Parasitic fungi ; Phytopathogenic fungi ; West Indies
4283,Periodicals ; Plant diseases ; West Indies ; Agriculture
4327,Juvenile literature ; Plants ; West Indies
4343,Discoveries in geography ; Spain ; Discovery and exploration ; Natural history ; Early accounts to 1600 ; Indians ; Shipwrecks ; Spanish ; Central America ; Colonies ; America ; West Indies
4344,North America ; West Indies ; Cuscuta
4348,Central America ; Polygala ; West Indies
4351,Plants ; West Indies
4353,Lichenes ; West Indies ; America
4367,Pictorial works ; Plants ; Central America ; West Indies
4389,"West Indies ; Central America ; South America ; Botany, Medical"
4394,Vernonia ; West Indies
4397,"Filices ; Pteridophyta ; West Indies, French"
4400,Plants ; West Indies
4404,West Indies ; Plants
4405,Plants ; Colombia ; West Indies
4413,West Indies ; Plants ; Mexico
4421,West Indies ; Piperaceae
4424,Sint Eustatius ; Saint Kitts ; Plants ; Description and travel ; Saint-Barthélemy ; West Indies
4428,Puerto Rico ; Cuba ; Description and travel ; West Indies
4429,Description and travel ; West Indies ; Voyages and travels
4430,West Indies ; Virgin Islands of the United States ; Musci
4431,Rhipsalis ; West Indies ; Cactaceae
4433,Plants ; West Indies
4441,Freshwater algae ; West Indies
4442,Freshwater algae ; West Indies
4445,"Trees, Fossil ; Paleobotany ; West Indies"
4458,"Hepaticae ; West Indies, French ; Musci"
4499,West Indies ; Gutta-percha ; Rubber ; Guyana
4505,Plants ; West Indies ; Early works to 1800
4965,Geckos ; West Indies
6152,Floras ; Plants ; West Indies ; Botany
6468,Floras ; Plants ; Botany ; West Indies
7093,Discoveries in geography ; Spain ; Discovery and exploration ; Colonies ; America ; Indians ; Natural history ; Shipwrecks ; Central America ; Early accounts to 1600 ; West Indies
