TitleID,Title,Author,Holding Institution,Year,StartYear,EndYear,Full Publication Details,Place of Publication,Latitude,Longitude,Language,Includes subject,TitleURL
144,"Symbolae Antillanae,seu, Fundamenta florae Indiae Occidentalis","Urban, Ignaz, 1848-1931","Missouri Botanical Garden, Peter H. Raven Library",1900,1898,1928,"Berolini :Parisiis :Fratres Borntraeger ;Paul Klincksieck,1898-1928.","Berlin, Germany and Paris, France",52.520008,13.404954,GER,West Indies,https://www.biodiversitylibrary.org/bibliography/144
426,"Prodromus plantarum indiae occidentalis :hucusque cognitarum tam in oris Americae Meridionalis, quam in insulis Antillicis sponte crescentium, aut ibi diuturne hospitantium, nova genera et species hactenus ignotas complectens","Hamilton, William, 1788-1856","Missouri Botanical Garden, Peter H. Raven Library",1825,1825,,"Londini [London] :Treuttel et Würtz,1825.","London, England",51.5001524,-0.1262362,LAT,West Indies,https://www.biodiversitylibrary.org/bibliography/426
433,"Nova genera & species plantarum, seu, Prodromus descriptionum vegetabilium :maximam partem incognitorum quæ  sub itinere in Indiam Occidentalem annis 1783-87","Swederus, Magnus 1748-1836",Smithsonian Libraries,,1788,,"Holmiae [Stockholm], Upsaliæ & Aboæ :in bibliopoliis Acad. M. Swederi,1788 (","Stockholm, Sweden",59.329444,18.068611,LAT,West Indies,https://www.biodiversitylibrary.org/bibliography/433
434,Flora Indiae Occidentalis :aucta atque illustrata sive descriptiones plantarum in prodromo recensitarum / Olavi Swartz.,B. White and Son.,"Missouri Botanical Garden, Peter H. Raven Library",1797,1797,,"Erlangae [Erlangen, Germany] :Jo. Jacobi Palmii,1797 (","Erlangen, Germany",49.599937,11.0063,LAT,West Indies,https://www.biodiversitylibrary.org/bibliography/434
820,"Horti medici amstelodamensis rariorum tam Orientalis : quàm Occidentalis Indiæ, aliarumque peregrinarum plantarum, magno studio ac labore, sumptibus Civitatis amstelodamensis, longâ annorum serie collectarum, descriptio et icones ad vivum æri incisæ","Blaeu, Pieter, 1637-1706","Missouri Botanical Garden, Peter H. Raven Library",1701,1697,1701,"Amstelodami :apud P. & J. Blaeu, nec non Abrahamum à Someren,1697-1701.","Amsterdam, Netherlands",52.3731663,4.8906596,LAT,West Indies,https://www.biodiversitylibrary.org/bibliography/820
899,"Plantarum americanarum fasciculus primus[-decimus] :continens plantas, quas olim Carolus Plumierius, botanicorum princeps detexit, eruitque, atque in insulis Antillis ipse depinxit","Plumier, Charles, 1646-1704","Missouri Botanical Garden, Peter H. Raven Library",1757,1755,1760,"Amstelaedami :Lugd. Batav.,Sumtibus Auctoris, Prostant in Horto Medico, atqueApud Viduam & Filium S. Schouten;Apud G. Potuliet & T. Haak,[1755-60]","Amsterdam, Netherlands",52.3731663,4.8906596,LAT,West Indies,https://www.biodiversitylibrary.org/bibliography/899
911,Description des plantes de l'Amerique :avec leurs figures,Jean Anisson.,"Missouri Botanical Garden, Peter H. Raven Library",1693,1693,,"A Paris, :De l'Imprimerie Royale,M.DC.CXIII [i.e. 1693].","Paris, France",48.856895,2.3508487,FRE,West Indies,https://www.biodiversitylibrary.org/bibliography/911
2611,The land and sea mammals of Middle America and the West Indies,"Elliot, Daniel Giraud, 1835-1915",Wellesley College Library (archive.org),,1904,,"Chicago :Field Columbian Museum,1904.","Chicago, Illinois",41.883229,-87.632398,ENG,West Indies,https://www.biodiversitylibrary.org/bibliography/2611
2759,"Three voyages of a naturalist : being an account of many little-known islands in three oceans visited by the ""Valhalla"" R.Y.S.","Crawford, James Ludovic Lindsay, Earl of, 1847-1913","New York Botanical Garden, LuEsther T. Mertz Library",,1908,,"London :Witherby & Co.,1908.","London, England",51.5001524,-0.1262362,ENG,West Indies,https://www.biodiversitylibrary.org/bibliography/2759
2762,Cyperaceae.,"Clarke, C. B. (Charles Baron) 1832-1906","New York Botanical Garden, LuEsther T. Mertz Library",,1900,,"Berolini,Borntraeger,1900","Berlin, Germany",52.520008,13.404954,LAT,West Indies,https://www.biodiversitylibrary.org/bibliography/2762
2765,"Cultuur en bereiding van koffie in Mexico, Centraal- en Zuid-Amerika en West-Indië, uittreksel van de verslagen door de amerikaansche consuls ingediend aan hunne regeering.",Amerikaansche Consul ingediend aan hunne Regeering.,"New York Botanical Garden, LuEsther T. Mertz Library",,1889,,"Amsterdam,J.H. de Bussy,1889.","Amsterdam, Netherlands",52.3731663,4.8906596,DUT,West Indies,https://www.biodiversitylibrary.org/bibliography/2765
