Words,POS,Frequency
Indies,ProperNoun,250
West,ProperNoun,247
history,Noun,65
America,ProperNoun,56
natural,Adj,47
travel,Noun,41
plant,Noun,40
Botany,ProperNoun,38
Description,ProperNoun,37
Indians,ProperNoun,35
Imprint,ProperNoun,31
work,Verb,29
Central,ProperNoun,20
Early,ProperNoun,18
language,Noun,17
Antilles,ProperNoun,15
Expedition,ProperNoun,15
Lesser,ProperNoun,15
Zoology,ProperNoun,15
field,Noun,14
note,Noun,14
Discovery,ProperNoun,12
Islands,ProperNoun,12
Mexico,ProperNoun,12
South,ProperNoun,12
etc,Foreign,12
exploration,Noun,12
Carib,ProperNoun,11
Spain,ProperNoun,11
States,ProperNoun,11
United,ProperNoun,11
botany,Noun,11
glossary,Noun,11
vocabulary,Noun,11
French,ProperNoun,10
North,ProperNoun,10
bird,Noun,10
linguistics,Noun,10
Apalachee,ProperNoun,9
Fossil,ProperNoun,9
Hartford-Smithsonian,ProperNoun,9
Plants,ProperNoun,9
indian,Adj,9
Saint,ProperNoun,8
carib,Adj,8
voyage,Noun,8
Cuba,ProperNoun,7
Medical,ProperNoun,7
Paleontology,ProperNoun,7
work,Noun,7
Colonies,ProperNoun,6
East,ProperNoun,6
Materia,ProperNoun,6
Pre-Linnean,ProperNoun,6
Thomas,ProperNoun,6
Tobacco,ProperNoun,6
medica,Noun,6
medicinal,Adj,6
travels,Noun,6
Brazil,ProperNoun,5
British,ProperNoun,5
Classification,ProperNoun,5
Florida,ProperNoun,5
Guyana,ProperNoun,5
Pictorial,ProperNoun,5
Reptiles,ProperNoun,5
Taino,ProperNoun,5
Tertiary,ProperNoun,5
War,ProperNoun,5
account,Verb,5
black-and-white,Adj,5
description,Noun,5
early,Adv,5
photograph,Noun,5
Greenland,ProperNoun,4
Haiti,ProperNoun,4
Hispaniola,ProperNoun,4
Hovey,ProperNoun,4
Jamaica,ProperNoun,4
Martinique,ProperNoun,4
Medicine,ProperNoun,4
Puerto,ProperNoun,4
Rico,ProperNoun,4
discovery,Noun,4
fungus,Noun,4
geography,Noun,4
industry,Noun,4
pictorial,Adj,4
zoology,Noun,4
Amphibians,ProperNoun,3
Bahamas,ProperNoun,3
Barbados,ProperNoun,3
Canada,ProperNoun,3
Canary,ProperNoun,3
Caribbean,ProperNoun,3
Crustacea,ProperNoun,3
England,ProperNoun,3
Expeditions,ProperNoun,3
France,ProperNoun,3
Grasses,ProperNoun,3
Guadeloupe,ProperNoun,3
Isla,ProperNoun,3
Leeward,ProperNoun,3
Mollusks,ProperNoun,3
Nesolinoceras,ProperNoun,3
Netherlands,ProperNoun,3
Ocean,ProperNoun,3
Phytogeography,ProperNoun,3
Rubber,ProperNoun,3
Scientific,ProperNoun,3
Sea,ProperNoun,3
Shipwrecks,ProperNoun,3
Spanish,ProperNoun,3
Taxidermy,ProperNoun,3
Virgin,ProperNoun,3
book,Noun,3
classification,Noun,3
insect,Noun,3
mammal,Noun,3
map,Noun,3
pre-linnean,Adj,3
urchin,Noun,3
18th,Adj,2
Agriculture,ProperNoun,2
Arachnida,ProperNoun,2
Arctic,ProperNoun,2
Area,ProperNoun,2
Azores,ProperNoun,2
Bay,ProperNoun,2
Bermudas,ProperNoun,2
Bland,ProperNoun,2
Cacao,ProperNoun,2
Carolina,ProperNoun,2
Catalonia,ProperNoun,2
Coffee,ProperNoun,2
Colinies,ProperNoun,2
Colombia,ProperNoun,2
Commerce,ProperNoun,2
Crocker,ProperNoun,2
Crustaceans,ProperNoun,2
Cruz,ProperNoun,2
Culture,ProperNoun,2
Diary,ProperNoun,2
Dominican,ProperNoun,2
Edmund,ProperNoun,2
Electronic,ProperNoun,2
English,ProperNoun,2
Fisheries,ProperNoun,2
Franco-Spanish,ProperNoun,2
Geographical,ProperNoun,2
Germany,ProperNoun,2
Graphic,ProperNoun,2
Guiana,ProperNoun,2
Hawaii,ProperNoun,2
Hunting,ProperNoun,2
Indian,ProperNoun,2
Indigo,ProperNoun,2
Indonesia,ProperNoun,2
Land,ProperNoun,2
Latin,ProperNoun,2
Lepidoptera,ProperNoun,2
Louisiana,ProperNoun,2
Manners,ProperNoun,2
Mineralogy,ProperNoun,2
Miscellanea,ProperNoun,2
Musci,ProperNoun,2
Museum,ProperNoun,2
Myriapoda,ProperNoun,2
Nahuatl,ProperNoun,2
Natural,ProperNoun,2
Newfoundland,ProperNoun,2
Nicolas,ProperNoun,2
Otis,ProperNoun,2
Pacific,ProperNoun,2
Pernambuco,ProperNoun,2
Photograph,ProperNoun,2
Quaternary,ProperNoun,2
Reapers,ProperNoun,2
Republic,ProperNoun,2
Saba,ProperNoun,2
Santa,ProperNoun,2
Sarsaparilla,ProperNoun,2
Sir,ProperNoun,2
Tarpon,ProperNoun,2
Tortuga,ProperNoun,2
Treatment,ProperNoun,2
U.S.,ProperNoun,2
University,ProperNoun,2
Vegetable,ProperNoun,2
Waldo,ProperNoun,2
Whales,ProperNoun,2
Wyandot,ProperNoun,2
Zoogeography,ProperNoun,2
album,Noun,2
alga,Noun,2
bat,Noun,2
botanist,Noun,2
catalog,Noun,2
century,Noun,2
cipher,Noun,2
copper,Noun,2
coral,Noun,2
custom,Noun,2
distribution,Noun,2
engraving,Noun,2
fern,Noun,2
flora,Noun,2
freshwater,Noun,2
literature,Noun,2
media,Noun,2
region,Noun,2
shipwreck,Noun,2
uncolor,Verb,2
world,Noun,2
1480-approximately,Adj,1
Abercromby,ProperNoun,1
Academic,ProperNoun,1
Africa,ProperNoun,1
Albatross,ProperNoun,1
Albert,ProperNoun,1
Aloe,ProperNoun,1
Americas,ProperNoun,1
Amsterdam,ProperNoun,1
Anthozoa,ProperNoun,1
Antonio,ProperNoun,1
Archipelago,ProperNoun,1
Australia,ProperNoun,1
